カテゴリ,番号,,想定シーン,プロンプト本文
,20,社長がテレビや雑誌で見た、流行りのビジネステーマ（例：DX、メタバース）の研修を、鶴の一声で突然開催する。,社長がトップダウンで研修を指示するが、人事担当者がその背景や目的を深くヒアリングする時間がなく、内容がズレてしまうことがある。,"「#### ▼▼▼ Geminiへのコピペ用プロンプト（社長の鶴の一声で決まった流行りのビジネステーマ研修用） ▼▼▼
「
# 命令書

あなたは、私の優秀なビジネス学習アシスタントです。
以下の状況と要望を理解し、最高の回答を生成してください。

## 私の状況
- 私は中小企業に勤務する社員です。
- 社長がメディアで見聞きした、流行りのビジネステーマに関する研修が、突然開催されることになりました。
- 正直なところ、私はそのテーマについてほとんど知識がなく、自分の仕事とどう関係するのかも分からず、研修へのモチベーションが上がらない状況です。
- この「やらされ感」のある研修を、自分にとって有益な学びに変えたいと考えています。

## 入力情報
- **研修テーマ:** 【ここに研修テーマを入力してください。例：DX、メタバース、人的資本経営、SDGs】
- **自社の業種・事業内容:** 【ここに自社の業種や事業内容を入力してください。例：地方の建設業、食品の卸売業】
- **自分の部署・職種:** 【ここにあなたの部署や職種を入力してください。例：営業部のリーダー、経理担当者】

## あなたへの要望
上記の入力情報に基づき、私が研修を「自分事」として捉え、能動的に参加できるようになるための事前知識と具体的なアクションプランを、以下の4つのステップで体系的に提供してください。

### ステップ1：テーマの超入門解説
研修テーマについて、専門用語を極力使わず、中学生でも理解できるように「そもそも何なのか？」「なぜ今、世間で注目されているのか？」を簡潔に説明してください。

### ステップ2：中小企業にとっての重要性
このテーマが、大企業だけでなく、私たちが働くような中小企業にとって「なぜ重要なのか」を、以下の観点から具体例を交えて説明してください。
- **導入した場合のメリットやビジネスチャンス:**
- **導入しなかった場合のリスクや脅威:**

### ステップ3：私個人の業務への関連付け
私の業種や職種を踏まえ、このテーマを日々の業務に活かすための具体的なアイデアやヒントを、少なくとも3つ、箇条書きで提案してください。「もし私があなたの立場で、このテーマを業務に活かすなら…」という視点で、明日から考えられるような具体的なアクションに繋がるヒントを提示してください。

### ステップ4：研修を10倍有益にするための準備
この研修を有意義なものにするために、私が研修中に「特に注目して聞くべきポイント」と、「講師に質問したり、後で自分で調べたりするための質の高い質問リスト」をそれぞれ3つずつ作成してください。

以上の4ステップを、明確に分けて、分かりやすく出力してください。
」
」"
,21,人事評価制度と、研修のカリキュラムが全く連動しておらず、評価のために何を学べばいいのかが不明確。,人事評価制度と研修カリキュラムを連動させるための、部署横断での議論や、制度設計に、まとまった時間を投資できていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（人事評価と研修の連動用） ▼▼▼

#役割
あなたは、キャリア開発と人材育成に精通した、非常に優秀な人事コンサルタントです。特に、人事評価制度と能力開発（研修）を結びつけ、個人の成長プランを具体的に設計する専門家です。

#背景
私は中小企業に勤務する社員です。私の会社では、残念ながら人事評価制度と研修カリキュラムが十分に連動していません。そのため、次のキャリアステップに進むため、また、現在の人事評価でより良い結果を出すために、「何を」「どのように」学べば評価に直結するのかが不明確で、学習の優先順位がつけられず悩んでいます。

#命令
以下の私が入力する情報に基づいて、私の評価向上とキャリアアップに直結する、明日から実行可能な「パーソナル学習ロードマップ」を作成してください。

#入力情報
*   **私の現在の役職/等級:** [ここにあなたの現在の役職や等級を記入。例：営業担当者]
*   **私が目指す役職/等級:** [ここにあなたが目指している役職や等級を記入。例：営業チームリーダー]
*   **現在の人事評価制度の評価項目（わかる範囲で箇条書きにしてください）:**
    *   [例：主体性]
    *   [例：課題発見力]
    *   [例：計画性・実行力]
    *   [例：チームワーク・協調性]
    *   [例：専門知識・スキル]
*   **現在、会社で受講できる研修カリキュラムのリスト（わかる範囲で箇条書きにしてください）:**
    *   [例：ロジカルシンキング研修]
    *   [例：プレゼンテーション研修]
    *   [例：中堅社員向けリーダーシップ研修]
    *   [例：Excel応用講座]

#出力形式
以下の4つのステップで、具体的かつ分かりやすく「パーソナル学習ロードマップ」を提案してください。

*   **ステップ1: 評価項目と必須スキルのマッピング**
    私が提示した「人事評価項目」と「目指す役職」を達成するために、具体的にどのようなスキル（知識・技術・スタンス）が必要になるかを分析し、評価項目とスキルを明確に紐づけてください。

*   **ステップ2: 研修カリキュラムとの最適な紐づけ**
    ステップ1で特定したスキルを習得するために、私が提示した「研修カリキュラム」の中から、どの研修が最も効果的かを理由と共に示してください。複数のスキルにまたがる場合は、その関連性も説明してください。

*   **ステップ3: 研修以外の補完的学習プラン**
    会社の研修だけではカバーしきれないスキルについて、それを補うための具体的な学習方法を3つ提案してください。（例：おすすめの書籍、質の高いオンライン学習プラットフォームの講座、OJTで意識すべきこと、取得を推奨する資格など）

*   **ステップ4: 学習成果を評価に繋げるためのアピール方法**
    学習した内容や習得したスキルを、日々の業務でどのように実践し、評価者である上司に効果的にアピール（報告・共有）すればよいか、具体的な行動例やトーク例を交えてアドバイスしてください。
」"
,22,外部から講師を呼ぶ際に、講師の選定基準が「社長の知り合いだから」「有名だから」という理由だけで、自社の課題に合っているかが考慮されていない。,外部講師を選定するにあたり、複数の候補を比較・検討する時間がなく、手早く決められる「社長の知り合い」などが優先されてしまう。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（外部講師選定の改善用） ▼▼▼

# 命令書
あなたは、数多くの中小企業の組織課題を解決してきた、経験豊富な人事コンサルタント兼組織開発の専門家です。
以下の背景と課題を深く理解し、私が社長や上司を説得し、より効果的で投資対効果の高い研修を実現するための、具体的かつ実行可能なアクションプランを提案してください。

# 背景
私は中小企業で研修企画を担当しています。現在、外部から講師を招いて研修を実施する計画がありますが、その講師の選定プロセスに大きな課題を感じています。

# 課題
講師の選定が、社長や役員の「知り合いだから」「最近メディアでよく見る有名な人だから」といった属人的かつ曖昧な理由で決定されがちです。
その結果、以下の研修の真の目的が達成できる最適な人選になっているか、客観的な評価ができていません。

- **研修で解決したい自社の課題:** 【ここに研修で解決したい具体的な課題を記入。例：若手社員の主体性が低く、指示待ちの傾向が強い】
- **研修の具体的な目的:** 【ここに研修の目的を記入。例：次世代リーダー候補として、自ら課題を発見し、周囲を巻き込みながら解決する能力を身につけさせる】
- **研修の対象者:** 【ここに研修対象者を記入。例：入社3〜5年目の社員 20名】

このままでは、高額な費用をかけても期待した効果が得られず、参加する社員の貴重な時間も無駄になってしまうと強く危惧しています。

# 実行してほしいこと
以下の3つの項目について、私がすぐに行動に移せるように、具体的かつ説得力のある内容をプロフェッショナルな視点で作成してください。

1.  **現状の選定方法がもたらす「ビジネス上のリスク」分析:**
    - 「社長の知り合い」「有名人」という理由だけで講師を選定した場合に起こりうるビジネス上のリスク（費用対効果、社員の士気、スキルの定着率、組織文化への悪影響など）を、具体的なシナリオを交えながら5つ挙げてください。

2.  **課題解決志向の「講師選定プロセス」と「評価基準チェックリスト」の提案:**
    - 誰が担当しても客観的で合理的な判断ができるような、講師選定の理想的なプロセスをステップ形式で提案してください。（例：Step1. 研修課題の明確化、Step2. ...）
    - そのプロセスで活用できる「講師評価基準チェックリスト」を具体的に作成してください。評価項目は「専門性」「実績」「研修スタイルとの相性」「費用対効果」など、多角的な視点を含めてください。

3.  **社長・上司への「建設的な提案プラン」:**
    - 現状のやり方を頭ごなしに否定するのではなく、社長の顔を立てつつ、建設的に新しい選定プロセスを提案するためのコミュニケーション戦略を立案してください。
    - 具体的には、以下の内容を含む提案のトークスクリプト（骨子）と、提案資料のアウトラインを作成してください。
        - **トークスクリプト（骨子）:** 話し始める際の切り出し方（社長への配慮）、現状のリスクの伝え方（客観的データや事例を交えながら）、新しいプロセスのメリットの示し方（社長にとってもメリットがあることを強調）、最終的な着地のさせ方など。
        - **提案資料のアウトライン:** この提案を通すための、説得力のあるプレゼン資料（全5枚程度）の構成案。各スライドで何を伝え、どのような印象を与えるべきかを示してください。
」"
,23,研修の案内が、常に開催日の数日前など、直前になってから告知される。,研修の案内が、担当者の通常業務の合間に行われるため、どうしても開催日の直前になってしまい、参加者のスケジュール調整が難しくなる。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（研修案内の告知が直前になる用） ▼▼▼
# 指示
あなたは、中小企業の組織課題に精通した、経験豊富な組織開発コンサルタントです。
以下の状況について、課題を分析し、具体的な解決策を提案してください。

# 状況
私が勤務する中小企業では、重要な社内研修の案内が、いつも開催日の数日前など、非常に直前に告知されます。
そのため、参加したくても急な業務の調整ができずに断念したり、参加できても十分な事前準備ができずに効果が半減したりと、多くの社員が困っています。この長年の課題を、建設的に解決したいと考えています。

# あなたへの依頼事項
以下の項目について、具体的かつ実践的なアドバイスを、下記のフォーマットに従って提供してください。

---

**1.【原因分析】研修案内の告知が直前になる根本原因（5つの視点）**
(例: 計画性の欠如、担当者の多忙、部門間の連携不足など、考えられる原因を多角的に分析してください)
1. 
2. 
3. 
4. 
5. 

**2.【悪影響の整理】この問題がもたらす弊害**
*   **個人への悪影響（3点）**
    1. 
    2. 
    3. 
*   **組織全体への悪影響（3点）**
    1. 
    2. 
    3. 

**3.【具体的な解決策】明日からできるアクションプラン**
*   **私が個人としてできること（3ステップ）**
    1. 
    2. 
    3. 
*   **組織として取り組むべき改善策（3つ）**
    1. 
    2. 
    3. 

**4.【コミュニケーション例文】角を立てずに改善を提案する方法**
*   **上司への相談（口頭での伝え方）**
    （具体的な会話例を記述）
*   **研修担当者への提案（メール文面）**
    件名：
    本文：
    （そのまま使える丁寧なメール文面を記述）
」"
,24,全社員に一律で同じ研修を受けさせており、階層別（新人、中堅、管理職）や、職種別の育成体系が全くない。,階層別・職種別の育成体系を設計するには、多くの時間と専門知識が必要なため、全社員一律の研修で代替してしまっている。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（画一的な研修制度用） ▼▼▼
#役割
あなたは、中小企業の人材育成に特化した、経験豊富な組織開発コンサルタントです。

#背景
私の会社は、全社員に一律で同じ研修を受けさせており、階層別（新人、中堅、管理職）や職種別の育成体系が全くありません。その結果、社員のスキルアップやモチベーションに課題を感じています。この状況を打破し、社員一人ひとりが成長を実感できる、効果的な人材育成体系を構築したいと考えています。

#依頼
以下の当社の情報を基に、限られたリソース（予算・人員）でも実行可能な、実践的な「階層別・職種別の人材育成体系」を提案してください。

#会社の情報
- 業種: [例：製造業（電子部品）]
- 従業員数: [例：約80名]
- 主な階層と人数比率: [例：新人・若手(30%)、中堅(50%)、管理職(20%)]
- 主な職種: [例：営業、製造、開発、事務]
- 会社のビジョンや経営課題: [例：既存事業の生産性向上と、新規事業の創出]
- 現在全社で実施している研修: [例：年に一度のコンプライアンス研修のみ]

#提案に含めるべき要素
1.  **育成体系の全体像:**
    - 階層と職種を組み合わせた育成マトリクスの全体像をシンプルに示してください。

2.  **階層別育成プラン（新人・中堅・管理職）:**
    - **期待される役割:** 各階層に求められる役割やマインドセットを定義してください。
    - **習得すべきスキル:** 各階層で必須となる共通スキル（ポータブルスキル）を具体的に挙げてください。
    - **具体的な研修プログラム案:** 上記スキルを習得するための、OJT、Off-JT（集合研修、オンライン研修）、自己啓発支援（書籍購入補助、資格取得支援など）、メンター制度といった施策を、コストを抑えた現実的な選択肢で提案してください。

3.  **職種別育成プラン（上記の主な職種ごと）:**
    - **習得すべき専門スキル:** 各職種で求められる専門スキルをレベル別に示してください。
    - **具体的な育成施策案:** 専門スキルを向上させるための具体的な方法（例：営業職向けのロールプレイング大会、製造職向けの技能コンテスト、開発職向けの勉強会開催支援など）を提案してください。

4.  **導入に向けたロードマップ:**
    - この育成体系を導入するにあたり、何から着手すべきか、優先順位と3年程度のスケジュール案をステップバイステップで示してください。

#出力形式
- マークダウン形式を使用し、見出しや箇条書きを効果的に使って、構造的で分かりやすく整理してください。
- 専門用語は避け、具体的なアクションに繋がりやすいように記述してください。
」"
,25,研修会社から勧められるがままに、パッケージ化された研修を導入しており、自社向けにカスタマイズされていない。,自社の課題に合わせて研修をカスタマイズするには、研修会社との打ち合わせに多くの時間がかかるため、パッケージ化された研修を選んでしまう。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（研修の形骸化・カスタマイズ不足用） ▼▼▼

#役割
あなたは、数多くの中小企業の課題を解決してきた、経験豊富な人事コンサルタント兼研修設計のプロフェッショナルです。特に、パッケージ化された研修を企業の独自事情に合わせて最適化し、投資対効果を最大化することを得意としています。

#背景
私の会社は、研修会社から提案されるがままにパッケージ研修を導入しており、自社の実情に合っていないと感じています。この状況を打破し、研修を本当に意味のあるものに変えたいと考えています。

- **当社の情報**
  - 業種・事業内容：【（例：Web制作、従業員30名）】
  - 企業文化や特徴：【（例：フラットな組織で、個人の裁量が大きい）】

- **導入している研修の情報**
  - 研修名：【（例：若手社員向けリーダーシップ研修）】
  - 対象者：【（例：入社3〜5年目の社員）】
  - 現在の研修内容の概要：【（例：一般的なリーダーシップ論、目標設定の方法、コーチングの基礎知識の講義が中心）】

- **感じている課題**
  - 【（例：研修内容が抽象的で、自社の小規模なチームですぐに実践できる内容ではない。受講者も「うちの会社では、こんなに部下いないし…」と他人事で聞いており、研修効果が全く見られない。）】

#命令
上記の背景と課題を踏まえ、このパッケージ研修を「自社の血肉となる生きた研修」へと生まれ変わらせるための、具体的な改善アクションプランを以下の構成で提案してください。

1.  **問題点の深掘り分析:**
    - このパッケージ研修が、当社の状況において「なぜ機能しないのか」その根本原因を3つの視点から分析してください。

2.  **研修目的の再定義:**
    - 当社の事業内容や課題に立ち返り、この研修で本当に達成すべき「SMART（具体的、測定可能、達成可能、関連性、期限）な目標」を3つ設定してください。

3.  **超具体的なカスタマイズ案（5選）:**
    - 再定義した研修目的を達成するために、現在の研修内容に加えるべき、あるいは変更すべき「明日からでも研修会社に依頼できるレベル」の具体的なカスタマイズ案を5つ提案してください。
    - （例：自社で実際に起きた小規模なトラブルを題材にしたケーススタディ、当社の評価制度と連動した目標設定ワーク、社長やエース社員が講師として登壇するセッションなど）

4.  **研修会社への交渉・依頼テンプレート:**
    - 上記のカスタマイズ案を実現するために、研修会社へ送るメールの文面を作成してください。現状の課題と改善要望が明確に伝わり、かつ相手が「協力したい」と思えるような、プロフェッショナルなトーンで記述してください。

5.  **効果測定の方法:**
    - カスタマイズ後の研修効果を測定するための、シンプルで実行可能な方法を「研修直後」「3ヶ月後」の2つのタイミングで具体的に提案してください。
」"
,26,育成予算の消化が目的になっており、年度末になると慌てて研修を詰め込む。,育成予算の執行計画を年度初めにじっくり立てる時間がなく、年度末に慌てて、残った予算を消化するための研修を詰め込んでしまう。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（予算消化目的の駆け込み研修用） ▼▼▼

# 役割
あなたは、中小企業の組織開発を専門とする、経験豊富な人事コンサルタントです。

# 背景
私が所属する中小企業では、育成予算の消化が第一目的となっており、毎年年度末になると慌てて研修を詰め込むという悪習が続いています。
この状況により、以下のような深刻な問題が発生しています。
*   **学習効果の低下:** 研修内容が場当たり的で、社員のスキルニーズやキャリアプランと連動していない。
*   **モチベーションの低下:** 社員は「やらされ感」が強く、研修に対して受け身で意欲が低い。
*   **業務への支障:** 通常業務が最も忙しい時期に研修が集中するため、現場が疲弊し生産性が落ちている。
*   **コストの浪費:** 研修効果の測定や振り返りがなく、投資対効果が不明確なまま予算だけが消化されている。

# 命令
この悪習を断ち切り、会社の成長に直結する戦略的な人材育成へと転換させるため、私（研修担当者）が経営層や上司に提案するための、具体的で説得力のあるアクションプランを作成してください。

# 出力形式
以下の2つの要素を盛り込み、マークダウン形式で構造的に整理して出力してください。

1.  **「脱・駆け込み研修！戦略的人材育成 年間計画フレームワーク」**
    *   目的：誰でも計画的に人材育成を進められるように、具体的なステップと各ステップでやるべきことを明確に示す。
    *   構成要素：
        *   【ステップ1：現状分析と課題の明確化】（例：経営課題と現場のスキルギャップの洗い出し方法）
        *   【ステップ2：育成目標の設定】（例：会社全体の目標と個人の目標を連動させる方法）
        *   【ステップ3：年間育成カレンダーの作成】（例：繁忙期を避け、効果的なタイミングで研修を配置する計画表のサンプル）
        *   【ステップ4：研修プログラムの選定と実施】（例：外部研修、OJT、eラーニング等の最適な組み合わせ方）
        *   【ステップ5：効果測定と改善】（例：研修後のアンケート、行動変容の確認、次年度計画への反映方法）

2.  **「経営層への提案書（骨子）」**
    *   目的：このフレームワークの導入を経営層に承認してもらうための、説得力のある提案資料の骨子。
    *   構成要素：
        *   **タイトル案:** 経営層の興味を引くキャッチーなタイトル
        *   **1. 現状の課題とリスク:** なぜ今、変革が必要なのかをデータや具体例を交えて説明するポイント。
        *   **2. 提案内容:** 「戦略的人材育成 年間計画フレームワーク」の導入を簡潔に説明。
        *   **3. 期待される効果（投資対効果）:** 導入によって会社が得られるメリットを具体的に示す。（例：離職率の低下、生産性の向上、採用コストの削減など）
        *   **4. 推進体制とスケジュール:** 誰が責任者で、いつまでに何を行うかの具体的な実行計画。
        *   **5. 結論:** 承認を力強く促す締めの一文。

# 制約条件
*   専門用語は極力避け、中小企業の経営者が直感的に理解できる平易な言葉で記述してください。
*   机上の空論ではなく、明日からでも行動に移せるような、実践的で具体的な内容にしてください。
」"
,27,研修の対象者を選ぶ際に、明確な基準がなく、上司の推薦や、たまたまスケジュールの空いていた人が参加する。,研修の対象者選定を、各部署の管理職に委ねるが、管理職も多忙なため、じっくり人選する余裕がなく、たまたまスケジュールの空いていた人が参加する。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（研修対象者の選定基準がない用） ▼▼▼

#役割
あなたは、中小企業の組織開発と人材育成に精通した、経験豊富な人事コンサルタントです。

#背景
私は中小企業の人事・研修担当者です。現在、社内で実施する研修の参加者選定において、以下の様な属人的・場当たり的な方法が横行しており、研修効果が最大化されていないという深刻な課題を抱えています。
- **現状の問題点**
    - 研修対象者を選ぶための明確で客観的な基準が存在しない。
    - 各部署の上司の個人的な推薦や、「今回はこの人に受けさせよう」といった感覚的な判断で決まっている。
    - 業務の都合で、たまたまスケジュールが空いている人が消去法的に選ばれることがある。

#課題
このままでは、研修内容と参加者のスキルレベルや課題意識との間にミスマッチが生じ、投資対効果が著しく低下してしまいます。また、参加者自身の学習意欲も上がらず、「なぜ自分が参加するのか」という不満にも繋がりかねません。

#命令
この状況を抜本的に改善し、研修投資の効果を最大化するために、以下の4つの要素を含む、具体的で実践的なアクションプランを提案してください。

1.  **研修目的別の「選定基準マトリクス」の作成**
    - 以下の3つの代表的な研修目的ごとに、「どのような人材を選ぶべきか」という選定基準を、具体的な評価項目と共にマトリクス（表形式）で整理してください。
        - **研修目的A:** 次世代リーダー育成
        - **研修目的B:** 専門スキル・技術力向上
        - **研修目的C:** 新人・若手向けビジネス基礎力アップ

2.  **選定プロセス導入のための「ステップバイステップガイド」**
    - 私のような担当者が、社内に客観的な選定プロセスを導入・定着させるための手順を、具体的な5つのステップで示してください。関係者をどのように巻き込み、何から始めるべきかが分かるように記述してください。

3.  **すぐに使える「研修対象者推薦・申請シート」のテンプレート**
    - 上司が部下を推薦する際、または本人が立候補する際に使用できる申請シートのテンプレートを作成してください。以下の項目を含み、選定の客観性を担保できるような内容にしてください。
        - 推薦/申請理由
        - 当該研修を通じて解決したい業務上の課題
        - 研修後に期待される行動変容や成果
        - 上司からのコメント欄

4.  **運用を成功させるための「説得ポイント」**
    - 新しい選定基準やプロセスを導入する際に、各部署の管理職から予想される反発（例：「面倒くさい」「今まで通りでいい」）に対して、その必要性とメリットを効果的に伝え、納得してもらうための説得ポイントを3つ挙げてください。

#出力形式
- 全ての回答は、中小企業の担当者が明日からでも実践できるレベルまで、具体的かつ分かりやすく記述してください。
- 専門用語は避け、平易な言葉で説明してください。
」"
,28,どのようなスキルを持った人材が、何年後に、何人必要か、というような戦略的な人員計画（要員計画）が存在しない。,戦略的な人員計画を立てるには、経営層と人事部が、会社の未来についてじっくりと議論する時間が必要だが、その機会が不足している。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（戦略的な人員計画の不在用） ▼▼▼

あなたは、中小企業の人材戦略に精通した、経験豊富な経営コンサルタントです。

# 背景
私は、従業員数[ 約50 ]名程度の[ IT ]業を営む中小企業の経営者です。当社には、どのようなスキルを持った人材が、何年後に、何人必要か、というような戦略的な人員計画が存在しません。そのため、採用や育成が場当たり的になっており、将来の事業成長に不安を感じています。

# 依頼
この状況を打開するため、限られたリソース（時間・人・予算）の中でも実践可能な「戦略的人員計画」をゼロから策定するための、具体的かつ体系的なアクションプランを提案してください。

# 出力形式
以下の4つの章立てで、詳細な回答を生成してください。

## 1. 戦略的人員計画策定の全体像（4ステップ）
計画策定の全工程を、初心者にも理解しやすいように4つのステップに分けてください。各ステップで「何を」「なぜ」行うのかを簡潔に説明してください。

## 2. 各ステップにおける具体的なアクションと「魔法の質問」
ステップごとに、私たちが社内で議論・検討すべき「魔法の質問」を5つずつ提示してください。これらの質問に答えることで、自社の現状分析や将来予測が具体的に進むように設計してください。
(例：ステップ1: 現状分析 → 質問: 現在、各部署で最も成果を上げている社員が持つ共通のスキルや行動特性は何か？)

## 3. すぐに使える簡易テンプレート
計画策定の成果を可視化するための、シンプルなテンプレートを提示してください。Markdownのテーブル形式で、以下の項目を含む「簡易人員計画表」を作成してください。
- 部署/チーム
- 役職/役割
- 現在の人数
- 3年後に必要な人数
- ギャップ（不足/過剰）
- 求める主要スキル/経験
- ギャップ解消のアクション（新規採用/内部育成/業務委託など）

## 4. 計画実行上の注意点と成功の秘訣
中小企業がこの計画を「絵に描いた餅」で終わらせないための、実践的なアドバイスを3つに絞って教えてください。

# 制約条件
- 専門用語は避け、平易な言葉で説明してください。
- 大企業向けの複雑な分析ツールは不要で、明日からすぐに着手できる内容にしてください。
- 具体的で、示唆に富んだ回答を期待しています。
」"
,29,技術職向けの専門研修は手厚いが、営業職や事務職向けのスキルアップ研修はほとんどない。,営業職や事務職向けの研修は、費用対効果が見えにくく、承認に時間がかかるため、技術職向けの専門研修が優先されがち。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（営業・事務職のスキルアップ研修不足用） ▼▼▼
# あなたへの役割
あなたは、中小企業で働くビジネスパーソンのための、非常に優秀なキャリア開発アドバイザーです。特に、体系的な研修機会が少ない中で、自律的にスキルアップを目指す人材をサポートする専門家です。

# 私の状況
私は中小企業に勤務しています。私の会社では技術職向けの専門研修は手厚いのですが、私のような【営業職 or 事務職】向けのスキルアップ研修はほとんどありません。そのため、自身の市場価値や業務遂行能力に少し不安を感じており、AIを活用して自己学習を進めたいと考えています。

# 私の目標
- 日々の業務効率を劇的に向上させたい。
- 会社への貢献度を高め、キャリアアップにつなげたい。
- 自身の市場価値を高め、将来のキャリアの選択肢を広げたい。

# 具体的な依頼
以下の私の情報に基づき、パーソナライズされたスキルアッププランを提案してください。

## 私の情報
- **職種:** [ここを「営業職」または「事務職」に書き換えてください]
- **現在の主な業務内容:** [ここに具体的な業務内容を3つほど簡潔に書いてください。例：新規顧客へのアプローチ、既存顧客のフォロー、見積書作成]
- **特に課題だと感じていること:** [ここにスキルアップしたいことや苦手なことを書いてください。例：提案書の作成に時間がかかる、データ分析が苦手、タスク管理がうまくいかない]

## 提案してほしい内容
1.  **明日から実践できる、超具体的なアクションプラン3選:** 私の課題を解決し、すぐに業務効率が上がるような、具体的で簡単なテクニックやツールを教えてください。
2.  **厳選！おすすめ無料学習リソース3選:** 上記のアクションプランを補強するための、質の高い無料オンライン記事、動画、ツールなどを紹介してください。
3.  **1ヶ月で成長を実感できる学習ロードマップ:** 最初の1週間から4週目まで、何をどのような順番で学べばよいか、具体的なステップを体系的に示してください。

# 出力形式
- 全体を分かりやすく、箇条書きを効果的に使って構成してください。
- 専門用語は避け、初心者にも理解しやすい平易な言葉で説明してください。
- ポジティブで、行動を促すようなトーンで記述してください。
」"
,30,公的機関が提供する安価な研修にばかり社員を派遣しており、費用対効果を十分に検討していない。,公的機関の研修は安価だが、その内容が本当に自社の課題解決に繋がるかを、事前に吟味する時間が足りない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（研修の費用対効果検討用） ▼▼▼
#役割
あなたは、中小企業の人材開発戦略を専門とする、経験豊富な経営コンサルタントです。

#背景
私は中小企業に勤務しており、人材育成を担当しています。現在、私の会社ではコスト削減を最優先し、公的機関が提供する安価な研修にばかり社員を派遣しています。しかし、それらの研修が本当に個人のスキルアップや会社の業績向上に繋がっているのか、費用対効果（ROI）が全く分析されていません。このままでは、時間と費用を浪費するだけで、戦略的な人材育成ができないという強い危機感を持っています。

#依頼事項
この状況を打開し、経営層を説得して、より効果的な研修投資への転換を促すための具体的な提案を作成したいです。以下のステップに従って、私をサポートしてください。

#ステップ1: 現状のリスク分析
「安価な公的研修への依存」がもたらす潜在的な問題点とビジネス上のリスクを、以下の観点から具体的かつ網羅的にリストアップしてください。
- スキルの陳腐化と専門性の欠如
- 社員のモチベーション低下
- 競合他社との人材獲得・育成競争における劣後
- 研修内容と自社の経営課題とのミスマッチ

#ステップ2: 経営層への提案書（骨子）の作成
研修投資の重要性を経営層に理解してもらうための提案書の骨子を、以下の構成で作成してください。説得力のある見出しと、それぞれの項目で記載すべき要点を簡潔に示してください。
1.  **はじめに：なぜ今、研修投資の見直しが急務なのか**
    - （市場環境の変化、競合の動向、自社の課題などを記載）
2.  **現状分析：現在の研修施策とその問題点**
    - （ステップ1で整理した内容を基に、課題を明確化）
3.  **提案：戦略的人材投資への転換**
    - （目指すべきゴールと、そのために必要な研修の考え方を提示）
4.  **研修の費用対効果（ROI）の考え方と試算**
    - （ROIの簡単な計算式と、具体的なモデルケースを提示）
5.  **具体的なアクションプラン**
    - （研修ニーズの把握方法、研修選定基準、効果測定の方法などを提示）
6.  **期待される効果と投資対効果**
    - （生産性向上、離職率低下、顧客満足度向上など、定性的・定量的な効果を予測）

#ステップ3: 効果測定の具体的手法の提案
中小企業でも実践可能な、研修の効果測定フレームワークを3つ提案してください。それぞれのフレームワークについて、「概要」「測定項目」「メリット」「導入の際の注意点」を分かりやすく表形式でまとめてください。

#出力形式
- 各ステップの回答は、見出しを付けて明確に区切ってください。
- 専門用語には簡単な解説を加えてください。
- 全体を通して、中小企業の経営者が納得しやすい、論理的で説得力のあるトーンで記述してください。
」"
