カテゴリ,番号,,想定シーン,プロンプト本文
,36,競合にコンペで負けても、「価格で負けた」「付き合いが長いから仕方ない」で片付けてしまい、なぜ本当に負けたのかを深掘りしない。,競合にコンペで負けた際、すぐに次の案件に取り掛からねばならず、じっくりと腰を据えて敗因を深掘りする時間が取れない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（コンペ敗因深掘り用） ▼▼▼
あなたは、数々の中小企業を競争の激しい市場で勝利に導いてきた、百戦錬磨の経営コンサルタントです。特に、営業戦略の再構築とコンペの勝率向上支援を得意としています。

私たちのチームは、先日行われた重要なコンペで競合他社に敗北しました。
社内では「価格で負けた」「先方は付き合いが長いから仕方ない」という意見で終わってしまいがちですが、それでは何も学びがなく、次の敗北に繋がるだけだと危機感を抱いています。

そこで、あなたの専門的な視点から、私たちが直視できていない「真の敗因」を多角的に分析し、次回の勝利に繋げるための具体的なアクションプランを特定する手助けをしてください。

以下の【コンペ情報】を元に、#出力指示 に従って分析と提案をお願いします。

【コンペ情報】
*   **当社の提案**: （例：業務効率化システム「A」。初期費用200万円、月額20万円。手厚い導入サポートが強み）
*   **競合の提案（推定）**: （例：システム「B」。初期費用150万円、月額18万円。業界での導入実績が豊富）
*   **顧客**: （例：株式会社〇〇。製造業。従業員80名。担当部長は乗り気だったが、最終決定者の社長が競合を選んだ）
*   **社内で出ている表面的な敗因**: （例：価格が高かった。競合は社長と10年来の付き合いがある）
*   **その他特記事項**: （例：提案の際、当社の実績よりも機能説明に時間を使いすぎたかもしれない。決裁者である社長の真の悩みや関心事を深くヒアリングできていなかった可能性がある）

#出力指示
1.  **【前提の破壊】**: 「価格」や「付き合い」という表面的な敗因を鵜呑みにせず、それらが選択されなかった「本当の理由」をプロの視点から3つ挙げてください。（例：「価格が高い」のではなく「価格に見合う価値を伝えきれなかった」など）
2.  **【真の敗因仮説リスト】**: 私たちが気づいていない可能性のある「真の敗因」について、以下の5つの視点から、考えうる仮説をそれぞれ具体的に挙げてください。
    *   **価値提案**: 顧客の「最も重要な課題」を解決する提案になっていたか？
    *   **顧客理解**: 決裁者（社長）個人が抱える「隠れた悩み」や「期待」を理解していたか？
    *   **信頼構築**: 短期間で「こいつらなら任せられる」と思わせる信頼関係を築けていたか？
    *   **差別化**: 競合ではなく「自社が選ばれるべき理由」を明確に伝えられたか？
    *   **営業プロセス**: 情報収集から提案、クロージングまでの流れに、相手を不安にさせる要素はなかったか？
3.  **【思考を深める魔法の質問】**: 私たちがチームでこの敗北を分析する際に議論すべき、本質的な問いを5つ作成してください。
4.  **【明日からできるアクションプラン】**: 今回の学びを次に活かすため、具体的で実行可能なアクションプランを3つ提案してください。

#制約条件
*   評論家のような抽象的な指摘は避けてください。
*   私たちが「自分たちの問題」として捉え、前向きに行動を起こせるような、建設的かつ具体的な言葉で記述してください。
」"
,37,販売管理システムに顧客データや売上データは蓄積されているものの、誰もそれを分析・活用しようとせず「宝の持ち腐れ」になっている。,販売管理システムに膨大なデータが蓄積されているが、それを分析するためのスキルを習得する時間も、実際に分析する時間もない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（販売管理システムのデータ活用用） ▼▼▼
# 命令書
あなたは、中小企業のデータ活用を支援する超一流のビジネスコンサルタントです。
以下の私たちの状況を深く理解し、売上を劇的に向上させるための具体的で実践的なアクションプランを提案してください。

# 私たちの状況
*   **会社:** [ここにあなたの会社の業種や扱っている商材を簡潔に記入。例：事務用品の卸売業]
*   **課題:** 販売管理システムに、過去数年分の顧客データ（顧客情報、購入履歴など）や売上データ（商品、数量、金額、日時など）が大量に蓄積されています。しかし、誰もその価値に気づかず、全く分析・活用できていない「宝の持ち腐れ」状態です。
*   **制約:** 社内に専門のデータアナリストはおらず、高度な分析ツールもありません。Excelが使える程度のスキルです。

# あなたへの具体的な依頼
この眠っているデータを「売上を生み出す資産」に変えるための、明日からでも実行可能なロードマップを、以下の構成で示してください。

1.  **【準備編】まず着手すべき、たった一つのこと**
    *   データ分析を始める前に、必ずやるべき最も重要な準備作業を1つだけ、その理由と合わせて簡潔に教えてください。

2.  **【分析編】Excelでできる！３つの魔法の分析手法**
    *   特別なスキルがなくても実践できる、インパクトの大きい基本的な分析手法を3つ厳選してください。
    *   以下の表形式で、それぞれの分析手法について「何がわかるか」「具体的な分析方法」を分かりやすく説明してください。
| 分析手法の名前 | この分析で何がわかるか？ | Excelでの具体的な分析ステップ |
| :--- | :--- | :--- |
| | | |
| | | |
| | | |

3.  **【実践編】分析から生まれる！売上アップアクションプラン５選**
    *   上記2の分析結果を基に、具体的な売上向上施策のアイデアを5つ提案してください。
    *   各アイデアは「（1）ターゲット顧客」「（2）具体的なアクション」「（3）期待される効果」の3つの要素を含めて、誰が読んでもすぐに行動に移せるように記述してください。

さあ、私たちのビジネスを次のステージへ導く、あなたの最高の知恵を貸してください。
」"
,38,顧客からのクレームや要望の中に宝の山があるのに、「またか」と処理するだけで、市場ニーズの変化や製品改善のヒントとして捉えられていない。,顧客からのクレームや要望への一次対応に追われ、それらの声を体系的に分析し、市場ニーズの変化として捉える余裕がない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（顧客クレームの分析用） ▼▼▼
#役割
あなたは、数々の中小企業の事業成長を支援してきた、経験豊富な事業開発コンサルタントです。特に、顧客の声（VOC）を分析し、それを画期的な製品改善や新規事業の種に繋げることを得意としています。顧客の表面的な言葉の裏に隠された「本質的なニーズ」を見抜くプロフェッショナルです。

#背景
私たちの会社では、顧客から寄せられるクレームや要望を、単なる「処理すべきタスク」として捉えてしまいがちです。しかし、本来それらは市場ニーズの変化や事業改善のヒントが詰まった「宝の山」であるはずです。私たちはこの状況を打破し、顧客の声を未来の成長に繋げたいと考えています。

#目的
以下の顧客からのクレームや要望を分析し、私たちが次にとるべき具体的なアクションに繋がる「ビジネスのヒント」を抽出してください。

#顧客からのクレーム・要望
*   **私たちの製品/サービス名:** `[ここにあなたの製品/サービス名を入力してください]`
*   **具体的なクレーム/要望の内容:**
    `[ここに実際にあったクレームや要望を、できるだけ具体的に複数入力してください。例：「〇〇機能の使い方が分かりにくい」「料金体系が複雑だ」「もっと△△のような機能が欲しい」など]`

#命令
上記の情報を基に、以下のステップに従って体系的に分析し、レポート形式で出力してください。

*   **【ステップ1：クレームの再定義】**
    *   それぞれのクレームを「単なる不満」ではなく、「顧客からの期待と現実のギャップ」という視点でポジティブに言い換えてください。

*   **【ステップ2：潜在的ニーズの深掘り】**
    *   顧客は「なぜ」そのように感じたのでしょうか？クレームの背後にある、言葉にされていない「本当のニーズ」や「解決したい根本的な課題（インサイト）」を5つの異なる視点から推察してください。

*   **【ステップ3：事業機会への転換】**
    *   ステップ2で抽出した潜在的ニーズを基に、以下の観点で具体的なビジネスチャンスを、優先順位をつけて提案してください。
        1.  **今すぐできる改善策（Low Hanging Fruit）：** 最も簡単かつ効果的に顧客満足度を上げられる施策。
        2.  **製品・サービスの改善アイデア：** 次期開発で検討すべき機能追加や仕様変更。
        3.  **新しい事業の種：** 新規商品や別事業として展開できる可能性のあるアイデア。
        4.  **コミュニケーションの改善点：** 顧客への伝え方、Webサイト、マーケティングメッセージで見直すべきこと。

*   **【ステップ4：議論を促す魔法の質問】**
    *   最後に、私たちがチームでこの分析結果について議論を深めるための、鋭い「問いかけ」を3つ作成してください。

#出力形式のルール
*   専門用語を避け、中小企業の社員なら誰でも理解できる平易な言葉で説明してください。
*   各ステップの結論は、箇条書きで分かりやすくまとめてください。
」"
,39,競合製品のパンフレットを集めてきて、それをファイリングしただけで「調査が完了した」と思い込んでいる。,競合製品のパンフレットを集めてきても、それを読み込み、自社製品と比較分析する、まとまった時間が取れずにいる。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（競合調査の深化用） ▼▼▼

#役割
あなたは、中小企業のマーケティング戦略を指導する、経験豊富なコンサルタントです。特に、データに基づいた実践的な競合分析を得意としています。

#状況
私は中小企業の社員です。競合他社の製品パンフレットを複数社分集め、ファイリングしました。これで競合調査は完了したと考えています。

#依頼
この私の状況に対して、プロのコンサルタントとして、思考の甘さを指摘し、より深く本質的な競合分析を行うための具体的なステップを、厳しくも愛のあるアドバイスとして教えてください。

#出力形式
以下の構成で、具体的なアクションプランを提案してください。

1.  **思考の盲点への指摘:**
    *   「パンフレットを集めただけ」の状態が、なぜ「調査完了」とは到底言えないのか。その根本的な理由を3つ、厳しく指摘してください。

2.  **パンフレット情報の「料理法」:**
    *   集めたパンフレットから、最低でも抽出・比較すべき情報をリストアップしてください。（例：価格、スペック、ターゲット顧客、キャッチコピー、保証内容など）
    *   それらの情報を比較分析するための、シンプルな比較表のテンプレートをMarkdown形式で作成してください。

3.  **「本当の競合分析」へのステップアップ:**
    *   パンフレットという「競合が見せたい姿」以外の情報を得るために、調査すべき情報源（オンライン・オフライン両方）を最低5つ挙げてください。
    *   集めた全ての情報から、自社の製品戦略に活かすための分析フレームワーク（例：3C分析、SWOT分析など）を1つ選び、その使い方を具体例を交えて説明してください。

4.  **最終ゴール設定:**
    *   この競合分析を通じて、最終的にどのようなアウトプット（報告書や提案書など）を作成すべきか、その目的と構成案の骨子を簡潔に示してください。
」"
,40,競合の価格リストを作成し、自社より高いか安いかを比較しただけで、その価格設定の「理由」や「戦略」まで考察しない。,競合の価格リストを作成して比較するが、その背景にある価格戦略や収益モデルまでを考察する、深い分析の時間が足りない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（競合の価格戦略分析用） ▼▼▼

#役割
あなたは、中小企業の価格戦略を支援する経験豊富な経営コンサルタントです。表面的な価格比較だけでなく、その背景にある競合の戦略的意図を深く洞察し、クライアントが具体的なアクションプランを策定できるよう導くことを得意としています。

#背景
私は、自社と競合の価格リストを作成し、単純な価格差（高い・安い）を比較したところです。しかし、このままでは「なぜその価格なのか？」という本質的な理由が分からず、自社の価格戦略をどうすべきか判断できません。

#依頼
以下の情報を基に、競合の価格設定の「理由」と「戦略」を多角的に分析し、自社が取るべきアクションを具体的に検討するための思考の壁打ち相手になってください。

#入力情報
*   **自社製品/サービス名と特徴、現在の価格：**
    `[ここに自社製品/サービス名、顧客に提供している独自の価値、現在の価格を具体的に記入してください]`
*   **比較対象の競合製品/サービス名と特徴、調査した価格：**
    `[ここに競合製品/サービス名、その特徴、調査で判明した価格を具体的に記入してください。複数ある場合はリスト形式で記述してください]`
*   **主なターゲット顧客層：**
    `[ここに自社がターゲットとしている顧客層（例：コスト重視の法人、品質を求める個人富裕層など）を記入してください]`

#命令
上記の入力情報を踏まえ、以下のステップに従って、分析と提案を構造的に出力してください。

*   **Step 1: 競合の価格設定の「理由」を推測するための5つの分析視点**
    競合がその価格を設定している理由を推測するために、以下の5つの視点から、考えられる可能性を具体的に記述してください。
    1.  **ターゲット顧客戦略の視点:** 競合はどのような顧客層を狙っているか？その顧客層にとって、その価格は「安い」のか「妥当」なのか「高い」のか？
    2.  **製品・提供価値の視点:** 競合製品は、自社製品と比較してどのような価値（機能、品質、ブランド、サポート体制など）で差別化を図っているか？その価値が価格にどう反映されているか？
    3.  **コスト構造の視点:** 競合のコスト構造（製造原価、仕入れ、人件費、広告宣伝費など）はどうなっていると推測できるか？価格設定はコスト主導か、価値主導か？
    4.  **マーケティング・販売戦略の視点:** 競合はどのような販売チャネルやプロモーション戦略をとっているか？（例：オンライン直販でコストを下げている、手厚い営業体制で高価格を正当化している、など）
    5.  **市場におけるポジショニング戦略の視点:** 競合は市場でどのような立ち位置（リーダー、チャレンジャー、ニッチャーなど）を目指しているか？価格はそのポジショニング戦略とどう連動しているか？（例：シェア獲得のための低価格戦略、高品質・高価格のプレミアム戦略など）

*   **Step 2: 自社の価格戦略を見直すための3つの選択肢と具体的なアクション**
    Step 1の分析に基づき、自社が検討すべき価格戦略の選択肢を、メリット・デメリットと共に3つ提案してください。それぞれの選択肢について、明日から始められる具体的なアクションプランも付け加えてください。
」"
,41,収集した情報を時系列で比較・分析せず、常に単発の情報としてしか見ていないため、トレンドの変化に気づけない。,収集した情報を、その場その場で処理するのに手一杯で、時系列で比較・分析し、トレンドの変化の兆候を掴むまでには至らない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（トレンドの変化に気づけない用） ▼▼▼
# 役割
あなたは、中小企業の経営課題を解決する経験豊富なデータアナリストです。特に、断片的な情報をつなぎ合わせ、時系列データから重要なトレンドや変化の兆候を読み解くことを得意としています。

# 背景
私は、日々の業務で得られる情報を時系列で比較・分析することが苦手で、常に単発の情報としてしか見ることができていません。その結果、市場や顧客の重要な変化（トレンド）を見逃している可能性があります。

# 依頼
以下の時系列データについて、プロの視点で分析し、私が見逃している可能性のある「トレンドの変化」を明らかにしてください。そして、その変化がビジネスに与える影響と、今後取るべきアクションについて、具体的かつ分かりやすくアドバイスしてください。

# 分析対象データ
`[ここに、分析したいデータを時系列で貼り付けてください。例：月次の売上、Webサイトのアクセス数、顧客からの問い合わせ件数やその内容、競合の価格推移など。箇条書きや表形式でOKです。]`

# 出力形式
以下のステップに従って、分析結果を構造化して出力してください。

1.  **データの全体像と主要な傾向:**
    *   データ全体の傾向（上昇、下降、横ばい、周期的変動など）を簡潔に説明してください。

2.  **重要な「変化点」の特定:**
    *   データの中で特に注目すべき「変化点（ターニングポイント）」はいつ、どこで起きましたか？
    *   その変化は具体的にどのようなものですか？（例：上昇率が加速/鈍化した、減少に転じた、特定の項目の割合が急増したなど）

3.  **変化の背景・要因の推測:**
    *   特定されたトレンドの変化は、どのような外部要因（市場の変化、競合の動き、季節性など）や内部要因（自社の施策、プロモーション、問題発生など）によって引き起こされた可能性がありますか？考えられる要因を複数挙げてください。

4.  **ビジネスへの示唆（機会とリスク）:**
    *   このトレンドの変化は、私たちのビジネスにとってどのような「機会（チャンス）」と「脅威（リスク）」を示唆していますか？それぞれ具体的に記述してください。

5.  **推奨アクションプラン:**
    *   この分析結果を踏まえ、私たちが今すぐ検討すべき具体的なアクションを3つ、優先順位をつけて提案してください。なぜそのアクションが必要なのか、理由も明確にしてください。
」"
,42,「SWOT分析」のフレームワークを、単語を埋めるだけの作業として行い、そこから具体的な戦略（クロスSWOT分析）を導き出せない。,SWOT分析のフレームワークを埋めるが、そこから具体的な戦略（クロスSWOT分析）を導き出すための、チームでの議論の時間が十分に確保できない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（SWOT分析用） ▼▼▼

# 役割
あなたは、中小企業の経営課題解決を専門とする、経験豊富な経営コンサルタントです。特に、SWOT分析の結果を解釈し、机上の空論で終わらない、具体的で実行可能な事業戦略へ落とし込むことを得意としています。

# 背景
私は中小企業で働いています。自社の現状を把握するためにSWOT分析を行いましたが、各項目に単語や短いフレーズを書き出しただけで、それらをどう組み合わせ、具体的な次のアクション（事業戦略）に繋げればよいのか分からず、分析が行き詰まっています。

# あなたへの依頼
以下のSWOT分析の結果をプロの視点で解釈し、「クロスSWOT分析」の手法を用いて、私たちが明日から実行できるような具体的な事業戦略を立案してください。

# 私たちが分析したSWOT分析の結果
*   **強み (Strengths):**
    *   【ここに自社の強みを3〜5つ入力してください。例：特定分野での高い技術力、地域密着で顧客との信頼関係が厚い、小回りの利く迅速な対応力】
*   **弱み (Weaknesses):**
    *   【ここに自社の弱みを3〜5つ入力してください。例：若手人材の不足、デジタル活用が遅れている、価格競争力がない】
*   **機会 (Opportunities):**
    *   【ここに外部環境の機会を3〜5つ入力してください。例：政府のDX推進補助金、健康志向の高まりによる新市場の出現、近隣地域での再開発計画】
*   **脅威 (Threats):**
    *   【ここに外部環境の脅威を3〜5つ入力してください。例：原材料価格の高騰、大手企業の市場参入、消費者のライフスタイルの変化】

# 具体的な指示
1.  **クロスSWOT分析の実行:**
    以下の4つの組み合わせで、どのような戦略が考えられるかを具体的に、複数提案してください。
    *   **積極戦略 (強み × 機会):** 強みを活かして機会を最大限に活用する戦略
    *   **差別化戦略 (強み × 脅威):** 強みを活かして脅威を回避または無力化する戦略
    *   **弱点克服戦略 (弱み × 機会):** 弱みを克服して機会を活かす戦略
    *   **防衛/撤退戦略 (弱み × 脅威):** 弱みと脅威による最悪の事態を回避する戦略

2.  **アクションプランへの落とし込み:**
    上記で提案した戦略の中から、特に中小企業である私たちが実行すべき最も重要なものを**3つ**選び出し、「誰が、いつまでに、何をするか」が明確に分かるような、具体的で実践的なアクションプランとして記述してください。

3.  **優先順位の提示:**
    提案した3つのアクションプランについて、「重要度」と「緊急度」の観点から優先順位を付け、なぜその順位になるのか理由も簡潔に説明してください。

# 出力形式
*   クロスSWOT分析の結果は、表形式で整理してください。
*   アクションプランと優先順位は、見出しを付けて箇条書きで分かりやすく記述してください。
」"
,43,競合のWebサイトのページ数や更新頻度を数えるだけで、どのようなコンテンツが顧客に評価されているのかという質的な分析ができていない。,競合Webサイトの質的な分析には時間がかかるため、ページ数や更新頻度といった、定量的に比較しやすい指標の確認で終わってしまう。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（競合Webサイトの質的分析用） ▼▼▼
# 命令書

あなたは、中小企業のコンテンツマーケティングを支援する、経験豊富なWeb戦略コンサルタントです。
以下の指示と情報に基づいて、競合のWebサイトを質的に分析し、自社のコンテンツ戦略に活かせる具体的なインサイトを抽出してください。

## 分析の目的
競合サイトのコンテンツが「なぜ」「誰に」「どのように」評価されているのかを深く理解し、単なるページ数や更新頻度の比較ではなく、顧客への提供価値という観点から自社のコンテンツ戦略立案の参考にすること。

## 分析対象の情報
- **競合サイトのURL:** {ここに分析したい競合他社のWebサイトURLを入力}
- **自社の事業内容:** {ここに自社の簡単な事業内容やターゲット顧客を入力}

## 分析の視点（以下の観点から、深く洞察してください）
1.  **ターゲット顧客の推測:**
    - このサイトは、どのような課題やニーズを持つ、どんな顧客（企業・個人）をメインターゲットにしていると考えられますか？
2.  **コンテンツの提供価値:**
    - サイト全体を通じて、顧客にどのような価値（問題解決、情報提供、ノウハウ、共感など）を提供しようとしていますか？
    - 特に力を入れていると思われるコンテンツのテーマやカテゴリーは何ですか？
3.  **コンテンツの強みと特徴:**
    - コンテンツの切り口、専門性、網羅性、独自性、分かりやすさなど、質的な観点での強みは何ですか？
    - 導入事例、お客様の声、ブログ記事、ホワイトペーパー、動画など、どのような形式のコンテンツが充実していますか？
    - どのようなトーン＆マナー（専門的、親しみやすい、信頼性重視など）で情報を発信していますか？
4.  **顧客を惹きつける工夫:**
    - 読者を次の行動（問い合わせ、資料請求、会員登録など）に促すための工夫（CTAの配置や文言など）はどのようになされていますか？

## 出力形式
以下の構造で、分析結果をマークダウン形式でまとめてください。専門用語は避け、具体的で分かりやすい言葉で説明してください。

### 1. 【総括】競合サイトのコンテンツ戦略
- このサイトのコンテンツ戦略を一言で表すと、どのようなものですか？
- その戦略の要点を3行で要約してください。

### 2. 推定ターゲット顧客像とそのインサイト
- このサイトが狙っている顧客像を具体的に描写してください。
- その顧客が抱えているであろう「悩み」や「知りたいこと」を推測してください。

### 3. 主要コンテンツの提供価値と戦術分析
- 最も力を入れていると思われるコンテンツテーマを3つ挙げてください。
- それぞれのテーマが、顧客のどのような課題を解決し、どのような価値を提供しているかを分析してください。

### 4. コンテンツの強み・弱み分析
- **強み:** 他社にはない、このサイトならではの優れた点を具体的に3つ挙げてください。
- **弱み（または、あえてやっていないこと）:** 不足している、あるいは戦略的に手を出していないと思われるコンテンツ領域を挙げてください。

### 5. 【最重要】自社が今すぐ参考にすべき3つのアクションプラン
- 今回の分析結果を踏まえ、自社がコンテンツ戦略に取り入れるべき「具体的なアクションプラン」や「コンテンツのアイデア」を、優先度の高い順に3つ提案してください。
」"
,44,データをグラフ化すること自体が目的になってしまい、そのグラフが「何を意味するのか」という考察がレポートに書かれていない。,データをグラフ化してレポートにまとめるが、そのグラフが持つ「意味」を深く考察し、言葉にするための時間が足りない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（グラフ考察力向上用） ▼▼▼

#役割
あなたは、鋭い洞察力を持つ経験豊富なデータアナリスト兼ビジネスコンサルタントです。単なるデータの読み上げではなく、その背景にあるビジネス上の意味を読み解き、具体的な次のアクションに繋がる提言を行うことを得意としています。

#背景
私はビジネスレポートを作成するため、手元のデータをグラフ化しました。しかし、グラフから「何が言えるのか」という深い考察を導き出すことができず、困っています。グラフを作ること自体が目的になってしまっている状態です。

#命令
以下の私が提示する「グラフの情報」と「レポートの目的」を理解した上で、プロの視点から、このグラフが持つ意味を深く考察し、レポートに記載すべき「ビジネス上の示唆」と「具体的なネクストアクション」を提案してください。

---

## 【私がインプットする情報】

### 1. グラフの情報
（ここに、グラフの種類、縦軸と横軸の項目、凡例、グラフから読み取れる特徴的な数値や傾向などを、箇条書きで具体的に記述してください）

*   **グラフの種類**: 
*   **グラフのタイトル**: 
*   **縦軸**: 
*   **横軸**: 
*   **読み取れる特徴**: 
    *   （例：4月の売上が前月比で30%急増している）
    *   （例：製品Bの満足度だけが他の製品に比べて低い）
    *   （例：Webサイトからの問い合わせ件数が、SNS経由を大きく上回っている）

### 2. このレポートの目的と読み手
（このレポートが、誰に、何を伝えるためのものなのかを記述してください）

*   **目的**: （例：新製品開発の意思決定、月次の販売戦略会議での報告、業務改善点の特定）
*   **主な読み手**: （例：経営層、マーケティング部長、現場のチームリーダー）

---

## 【あなたに出力してほしい内容】

上記の情報を踏まえ、以下の厳格なフォーマットに従って、示唆に富んだ分析結果を出力してください。

### 1. グラフから読み取れる「客観的な事実」の要約
*   私が記述した特徴を、ビジネスの文脈で再整理してください。

### 2. 多角的な「考察」（＝So What? なぜそうなっているのか？）
*   上記の事実から「なぜそのような結果になったのか？」という要因を、複数の仮説として挙げてください。
*   （例：「4月の売上急増は、同時期に実施した新生活応援キャンペーンが成功した可能性が高い」）
*   （例：「製品Bの満足度の低さは、特定の機能に関する不具合や、ターゲット顧客層とのミスマッチが原因ではないか？」）
*   ポジティブな側面とネガティブな側面の両方から分析してください。

### 3. 導き出される「ビジネス上の示唆」と「ネクストアクション」（＝So What? だからどうする？）
*   この分析結果から、レポートの読み手が最も注目すべき「結論（ビジネス上の意味）」を端的に述べてください。
*   その結論に基づき、私たちが次に取るべき「具体的なアクションプラン」を3つ提案してください。
*   （例：アクション1：成功したキャンペーン要因を特定し、他製品へ横展開する）
*   （例：アクション2：製品Bのユーザーレビューを詳細分析し、改善点を洗い出す）
*   （例：アクション3：SNS経由の流入を増やすため、インフルエンサーとの協業を検討する）

」"
,45,複数の情報を組み合わせて分析することができず、常に一つの情報だけで結論を急いでしまう。,複数の情報を組み合わせて多角的に分析するには時間がかかるため、手元にある一つの情報だけで結論を急いでしまう傾向がある。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（多角的分析トレーニング用） ▼▼▼

# 指示

あなたは、ロジカルシンキングとクリティカルシンキングに精通したベテランのビジネスコンサルタントです。
これから、一つの情報だけで結論を急いでしまう傾向があるビジネスパーソン（私）の思考力を鍛えるための、対話形式のトレーニングを行います。

## トレーニングの目的
複数の情報を客観的に、かつ構造的に組み合わせて分析し、性急な結論ではなく、より精度の高い結論やアクションプランを導き出す思考プロセスを習得すること。

## トレーニングの流れ
以下のステップで私をコーチングしてください。

**ステップ1：課題の設定**
まず、私が分析したいビジネス上の課題や状況を提示します。私が具体的な課題を思いつかない場合は、あなたが中小企業でよくある典型的な課題例（例：「新商品の売上が伸び悩んでいる」「ベテラン社員の離職が続いている」「特定部門の残業が減らない」など）を3つ提示し、私に選ばせてください。

**ステップ2：情報の多角的収集（シミュレーション）**
私が提示（または選択）した課題に対して、あなたが分析に必要となるであろう複数の情報（例：売上データ、顧客アンケートの結果、競合の動向、市場トレンド、社内ヒアリング内容など）を、ポジティブな情報、ネガティブな情報、中立的な情報をバランス良く含めて、仮想的に5つ箇条書きで提示してください。

**ステップ3：思考の深掘り**
あなたは、提示した5つの情報について、私に以下の質問を一つずつ投げかけ、私の思考を促してください。私の回答を待ってから、次の質問に移ってください。
1. 「まず、これらの情報の中で、あなたが最も重要だと感じる情報（最初に目が行った情報）はどれですか？そして、その情報だけを見ると、どのような結論や原因が推測できそうですか？」
2. 「次に、その結論に対して、他の4つの情報はどのように影響を与えますか？（結論を補強しますか？ それとも矛盾しますか？ あるいは、全く別の可能性を示唆しますか？）」
3. 「これらの5つの情報を総合的に考慮すると、当初の結論はどのように変化または進化しますか？より精度の高い結論や、次にとるべきアクションは何だと考えられますか？」
4. 「今回の分析で、まだ見落としている可能性のある視点や、意思決定のためにもう一つだけ追加で収集すべき情報があるとしたら、それは何だと思いますか？」

**ステップ4：フィードバックとモデル思考の提示**
私の回答全体に対して、まずポジティブなフィードバックを与えてください。その上で、「思考を深めるためのコンサルタントの視点」として、あなたの思考プロセス（モデル解答例）を以下の観点を含めて分かりやすく解説してください。
- **情報の構造化**: 事実と意見の切り分け、情報のグルーピングなど。
- **複数の仮説**: 当初考えた結論以外に、どのような仮説が立てられるか。
- **論理の検証**: 結論に至るまでの思考に飛躍や偏りがないかのチェック。

## 制約条件
- 常にコーチとして、私を導き、考えさせるような丁寧な口調を維持してください。
- 専門用語を使う際は、必ず簡単な言葉で解説を加えてください。
- 私の回答を否定せず、一度受け入れた上で、より良い思考へ導くような対話を心がけてください。

それでは、トレーニングを開始します。
**ステップ1として、あなたが分析したいビジネス上の課題や状況を教えてください。もし具体的なものがなければ、「課題例をください」と入力してください。**
」"
,46,競合の広告を見つけても、「こんな広告を出している」で終わり、その広告の「ターゲット」「メッセージ」「出稿媒体」を分析しない。,競合の広告を見つけても、そのクリエイティブやメッセージを分析し、自社の戦略に活かすという議論にまで発展させる時間がない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（競合広告の戦略分析用） ▼▼▼
#役割
あなたは、鋭い洞察力を持つ経験豊富なマーケティング戦略アナリストです。

#背景
私たちは中小企業で、競合の広告を分析し、自社の戦略に活かしたいと考えています。しかし、単に「こんな広告があった」という表面的な情報共有で終わってしまいがちです。あなたの専門的な視点で、広告の裏にある戦略まで深く掘り下げてください。

#命令
以下の【競合広告の情報】を基に、下記の【分析のステップ】に従って、詳細な分析レポートを作成してください。特に、分析から導き出される「我々が何をすべきか」という具体的なアクションに繋がる示唆を重視してください。

---
【競合広告の情報】
*   競合企業名：[ここに企業名を入力]
*   広告の内容（キャッチコピー、デザイン、訴求ポイントなど）：[見た広告の内容を具体的に入力]
*   広告を見つけた媒体（Webサイト名、SNS、雑誌名、駅名など）：[広告が掲載されていた場所や媒体を入力]
---

【分析のステップ】
1.  **ターゲットの特定:**
    *   この広告は、どのような人物（年齢、性別、職業、悩み、価値観など）にメッセージを届けようとしていますか？
    *   なぜそう判断できるのか、広告の表現や出稿媒体から読み取れる根拠を明確にしてください。

2.  **メッセージの解読:**
    *   この広告が最も伝えたい「核心的なメッセージ」は何ですか？一言で要約してください。
    *   ターゲットのどのような感情（憧れ、不安、お得感など）に訴えかけようとしていますか？
    *   競合は、自社や商品をどのように見せたい（ブランディングしたい）と考えているでしょうか？

3.  **媒体選定の意図:**
    *   なぜ、競合はこの媒体を選んだのでしょうか？ターゲットと媒体の親和性から、その戦略的な意図を推測してください。
    *   この媒体出稿の目的は、認知拡大、販売促進、ブランディングのうち、どれに最も重点を置いていると考えられますか？

4.  **自社への示唆とアクションプラン:**
    *   この競合の広告戦略から、我々が学ぶべき点は何ですか？
    *   逆に、この競合とは異なるアプローチを取るべき点は何ですか？
    *   この分析を踏まえ、我々が明日から実行できる具体的なアクションを3つ提案してください。
」"
