カテゴリ,番号,,想定シーン,プロンプト本文
,16,自社のポジション（業界のリーダーなのか、挑戦者なのか）を意識した戦略がなく、常に業界最大手と同じ土俵で戦おうとして疲弊する。,自社のポジションを客観的に分析し、独自の戦略を練るには時間がかかるため、つい分かりやすい業界最大手の動きを追ってしまう。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（業界最大手との戦い方用） ▼▼▼
#役割
あなたは、中小企業の経営戦略に精通した、経験豊富な経営コンサルタントです。特に、ランチェスター戦略やニッチ戦略を駆使して、リソースの限られた「挑戦者」を成功に導くことを得意としています。

#背景
私たちは、以下の特徴を持つ中小企業です。
*   **業界:** 【ここに自社の業界名を入力】
*   **主な商品/サービス:** 【ここに自社の主力商品・サービスを入力】
*   **私たちの強み:** 【競合にはない自社の強みを簡潔に入力（例：小ロット対応、顧客への手厚いサポート）】
*   **課題:** 業界最大手の【ここに競合の最大手企業名を入力】と同じような戦略（例：価格競争、マス広告など）で戦おうとして、資金力やブランド力で劣り、完全に疲弊しています。このままではジリ貧です。

#命令
上記の背景を踏まえ、私たちが最大手とは異なる土俵で戦い、独自のポジションを確立するための「弱者の戦略」を立案してください。
以下の構成で、具体的かつ実行可能な提案を、中小企業の経営者がすぐに理解できる言葉で記述してください。

1.  **ポジションの再定義:**
    *   私たちの現状から、市場における最適なポジション（例：特定のニーズに特化した「ニッチャー」、地域密着の「リーダー」など）を明確に定義してください。

2.  **具体的な戦略の提案（3つの選択肢）:**
    *   **戦略A（ニッチ戦略）:** どのような「特定の顧客層」や「特定のニーズ」に資源を集中すべきか、その理由と共に提案してください。
    *   **戦略B（差別化戦略）:** 商品、サービス、顧客体験において、最大手が真似できない、あるいは真似しないであろう「独自の強み」をどのように構築すべきか提案してください。
    *   **戦略C（局地戦・接近戦）:** 営業エリア、販売チャネル、プロモーション手法において、最大手の力が及ばない、あるいは我々が優位に立てる「局地」はどこか、そしてそこでどのように戦うべきか提案してください。

3.  **明日から始めるべき最初の一歩（アクションプラン）:**
    *   上記で提案した戦略の中で最も効果的だと思われるものを1つ選び、それを実行に移すために、チーム全体で明日からすぐに取り組める具体的なアクションを3つ、優先順位をつけて提案してください。

4.  **参考事例:**
    *   あなたが提案したような戦略で成功した中小企業の事例を、業界を問わず1つ挙げ、その成功の鍵を簡潔に解説してください。
」"
,17,マーケティング活動の優先順位がつけられず、あれもこれもと手を出し、すべての施策が中途半端に終わる。,限られた時間の中で成果を出すため、あれもこれもと施策に手を出してしまい、一つ一つの施策を深く掘り下げる余裕がなくなる。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（マーケティング活動の優先順位付け用） ▼▼▼

#役割
あなたは、リソースが限られた中小企業のマーケティング戦略を支援する、経験豊富なマーケティングコンサルタントです。データとフレームワークに基づき、最も効果的な打ち手を見極めるプロフェッショナルとして振る舞ってください。

#背景
私は中小企業の経営者（またはマーケティング担当者）です。現在、多くのマーケティング施策のアイデアがありますが、リソース（人・モノ・金・時間）が限られており、何から手をつけるべきか優先順位を決められません。結果として、あれもこれもと手を出し、すべてが中途半端になってしまうという課題を抱えています。

#命令
以下の【私のビジネス情報】を分析し、**「インパクト（効果）」**と**「工数（実行の容易さ）」**の2軸で各施策を評価してください。その上で、今すぐ集中すべき施策と、逆に「今はやらない」と決めるべき施策を明確に切り分け、具体的なアクションプランを提示してください。

---

【私のビジネス情報】

*   **1. 事業概要とターゲット顧客:**
    *   （例：都内でオーガニック野菜の宅配サービスを展開。ターゲットは健康志向の30-40代の共働き世帯）

*   **2. マーケティングの最も重要な目標（KGI）:**
    *   （例：3ヶ月後までに、新規顧客の月間獲得数を現在の20件から50件に増やす）

*   **3. 利用可能なリソース:**
    *   **月間マーケティング予算:** （例：10万円）
    *   **担当者の人数とスキル:** （例：1名。SNS投稿やブログ執筆はできるが、専門的な広告運用や動画編集の経験はない）

*   **4. 現在検討中のマーケティング施策リスト（思いつく限りすべて）:**
    *   （例：
        *   Instagramでのレシピ投稿
        *   Googleリスティング広告の出稿
        *   SEO対策のためのブログ記事作成
        *   地元のフリーペーパーへの広告掲載
        *   既存顧客向けメルマガの配信強化
        *   インフルエンサーへの商品提供
        *   YouTubeチャンネルの開設
        *   プレスリリースの配信
        *   紹介キャンペーンの実施
    *   ）

---

#出力形式
以下の構成で、具体的な提案をしてください。

1.  **優先順位の評価:**
    *   提示された全施策を分析し、インパクトと工数を評価した結果を、以下の表形式で示してください。
| 施策名 | インパクト（高/中/低） | 工数（高/中/低） | 総合評価（着手優先度） |
|---|---|---|---|
| | | | |

2.  **結論：集中すべきトップ3施策:**
    *   上記評価に基づき、最も優先して取り組むべき施策を3つ選定し、その選定理由を「なぜそれが目標達成に直結するのか」「なぜ今のリソースで実行可能と判断したのか」という観点から具体的に説明してください。

3.  **最初の一歩（アクションプラン）:**
    *   優先度1位の施策について、明日から具体的に何をどのような手順で進めるべきか、最初の3ステップを簡潔に示してください。

4.  **戦略的判断：「今はやらないこと」リスト:**
    *   優先度が低いと判断された施策を挙げ、「なぜ『今は』やるべきではないのか」その理由を明確に説明してください。これはリソースを集中させるための重要な判断です。
」"
"B. デジタル活用の迷走 編

（WebサイトやSNSをとりあえず導入したものの、うまく活用できず放置されたり、的外れな運用をしたりしている状況）
",18,「これからはSNSの時代だ！」と意気込んでアカウントを作ったものの、何を投稿すればいいか分からず、数ヶ月間放置され幽霊化している。,SNSアカウントを開設したものの、日々の業務に追われ、継続的に投稿するコンテンツを企画・制作する時間が確保できない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（SNSアカウントの幽霊化用） ▼▼▼

#役割
あなたは、リソースの限られた中小企業を数多く支援してきた、経験豊富なSNSマーケティングコンサルタントです。特に、SNS運用に悩む担当者が、無理なく・楽しく・継続的に情報発信できるようになるための、具体的で実践的なアドバイスを得意とします。

#背景
- 私たちは[あなたの会社の業種や事業内容]を営む中小企業です。
- SNSアカウント（[対象とするSNS名(例: Instagram, X, Facebook)]）を開設しましたが、何を投稿すれば良いか分からず、数ヶ月間更新が止まってしまい「幽霊アカウント」状態です。
- 専門の担当者はおらず、投稿作成に多くの時間はかけられません。

#ゴール
- この「幽霊アカウント」を復活させ、[ターゲット顧客層(例: 30代の働く女性、地域の飲食店オーナー)]に興味を持ってもらう。
- 私たちのSNS活用の最も大きな目的は「[SNS活用の最も大きな目的(例: 新規顧客獲得, 既存顧客との関係強化, ブランディング, 採用)]」です。
- この目的を達成するために、SNS運用を無理なく継続できるような、具体的な投稿アイデアと計画を手に入れたい。

#依頼事項
上記の背景とゴールに基づき、私たちが明日からすぐに実践できる「SNS投稿アイデア」を、以下の形式で10個提案してください。アイデアは、専門知識がなくても、少ない時間で作成できることを重視してください。

#出力形式
---
**【投稿カテゴリ】:** (例: ①仕事の裏側を見せる, ②商品・サービスの魅力を伝える, ③お役立ち情報, ④スタッフの人柄を見せる, ⑤お客様と交流する)

**1. アイデア名:** (投稿内容がイメージできるキャッチーな名前)
   - **どんな投稿か:** (アイデアの簡単な説明)
   - **投稿文の例:** (ターゲット顧客が思わず読みたくなるような、具体的な投稿文のテンプレート)
   - **画像/動画の例:** (スマートフォンで簡単に撮影できる写真や動画のアイデア)
   - **継続のコツ:** (この投稿を無理なく続けるためのヒントや、ネタ探しの方法)

**(上記形式で、アイデアを10個提案してください)**
---

#追加の依頼
提案した10個のアイデアを元に、最初の1ヶ月で実践できる「週3回更新の投稿スケジュール例（カレンダー形式）」も作成してください。
例：
- 1週目
  - 月：【アイデア名】
  - 水：【アイデア名】
  - 金：【アイデア名】
- 2週目
  - (以下同様)

」"
,19,Webサイトはあるが、デザインが古くスマホにも対応していない。会社概要と社長の挨拶が載っているだけで、実質的にネット上の会社案内パンフレット状態。,Webサイトのデザイン改修やスマホ対応は、時間もコストもかかる大きなプロジェクトになるため、なかなか着手に踏み切れない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（古いWebサイトの刷新用） ▼▼▼

#役割
あなたは、リソースが限られている中小企業に特化した、経験豊富なWeb戦略コンサルタントです。

#背景
私の会社は中小企業で、Webサイトを持っていますが、以下の深刻な課題を抱えています。
- **デザインの陳腐化:** 10年以上更新されておらず、デザインが非常に古い。
- **スマートフォン未対応:** パソコンでしかまともに閲覧できず、スマホでは文字が小さすぎたり、レイアウトが崩れたりする。
- **コンテンツ不足:** 掲載されているのは会社概要と社長の挨拶のみ。実質的に「ネット上の会社案内パンフレット」状態で、全く機能していない。

#依頼
この全く機能していないWebサイトを、「見込み客を獲得し、ビジネスを成長させるための戦略的ツール」へと生まれ変わらせるための、具体的で実践的なアクションプランを提案してください。

#提案に含めてほしい項目
1.  **最初にやるべきこと（目標設定）:** 何をゴールにリニューアルすべきか。例：「月5件の問い合わせ獲得」「特定サービスの認知度向上」など。
2.  **追加すべき必須コンテンツ:** 「会社案内」から脱却するために、最低限追加すべきコンテンツのアイデアを5つ以上、その目的と合わせて具体的に挙げてください。
3.  **デザインと技術の方向性:**
    - 古いデザインから脱却するための、現代的で信頼感を与えるデザインのポイント。
    - なぜスマートフォン対応（レスポンシブデザイン）が絶対に必要か、その理由を経営者にも分かるように説明。
4.  **リニューアルの進め方:**
    - 予算を抑えたい場合におすすめの具体的な方法（例: WordPress、Webサイト作成ツールなど）
    - 外部の制作会社に依頼する場合の、失敗しないための業者選びのポイントと、見積もり依頼時に伝えるべきこと。
5.  **公開後の運用:** サイトをリニューアルして終わりではなく、育てていくために最低限やるべきこと。

#出力形式
- 専門用語は避け、Webに詳しくない人でも理解できる平易な言葉で説明してください。
- 上記の5つの項目について、番号を付けて分かりやすく体系的にまとめてください。
」"
,20,Webサイトに問い合わせフォームはあるが、誰がいつ返信するのかという社内ルールがなく、返信が数日後になったり、担当者によって対応がバラバラだったりする。,Webサイトの問い合わせフォームからの連絡に対し、担当者が通常業務の合間に対応しているため、返信に時間がかかったり、対応が後手に回ったりする。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（Webサイトからの問い合わせ対応のルール化用） ▼▼▼
あなたは、中小企業の業務改善を専門とするコンサルタントです。
私が勤務する会社では、Webサイトの問い合わせフォームからの連絡対応に以下の課題があります。

# 課題
- 誰がいつ返信するのかという明確な社内ルールが存在しない。
- 担当者によって対応のスピードや内容がバラバラになっている。
- 返信が数日後になることもあり、顧客からの信頼を損なうリスクがある。
- 問い合わせ内容や対応履歴の管理が属人化している。

# 命令
この状況を根本的に改善し、誰でも迅速かつ質の高い対応ができるようにするための「問い合わせ対応マニュアル」の草案を作成してください。
特別なツールを導入しなくても、すぐに実践できる現実的な内容でお願いします。

# マニュアルに含めるべき項目
1.  **基本方針と目標設定**
    *   目的（なぜこのルールが必要か）
    *   具体的な目標（例：一次返信は24営業時間以内に行う、など）

2.  **対応フロー（ステップ・バイ・ステップ）**
    *   問い合わせ受信から対応完了までの具体的な流れを、担当者、作業内容、期限を明確にして記述してください。
    *   例：【Step1: 受信確認】→【Step2: 担当者割り振り】→ ... →【Step5: 対応完了と記録】

3.  **具体的な社内ルール**
    *   **担当者の決定方法:** 当番制、内容による振り分けなど、複数の選択肢とそれぞれのメリット・デメリットを提示してください。
    *   **返信期限:** 一次返信と最終回答の期限を具体的に設定してください。
    *   **対応状況の共有方法:** Googleスプレッドシートや共有チャットなど、無料で使えるツールを活用したシンプルな管理方法を提案してください。管理シートの項目案も出してください。
    *   **エスカレーションルール:** 担当者一人で判断できない場合の報告・相談ルールを定めてください。

4.  **そのまま使えるメールテンプレート集**
    *   **【件名：お問い合わせありがとうございます（株式会社〇〇）】**という件名の、問い合わせ直後に顧客へ送る「自動返信メール」
    *   **【件名：Re: お問い合わせの件（株式会社〇〇 担当：△△）】**という件名の、担当者が最初に送る「一次対応メール」
    *   よくある質問（例：製品の納期について）に回答する際の丁寧な「回答メール」

# 出力形式
- 上記の4項目を、見出しや箇条書きを使って分かりやすく整理してください。
- 新人でも理解できるよう、専門用語を避け、平易な言葉で記述してください。
」"
,21,SEO対策と称して、Webサイトのブログに不自然なほどキーワードを詰め込んだ、読みにくい記事を量産している。,SEO対策の重要性は理解しているが、質の高い記事を時間をかけて書く余裕がなく、手早く成果を出そうとして、キーワードを詰め込んだ記事になってしまう。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（SEO対策でキーワードを詰め込んだ記事を量産している用） ▼▼▼
#役割
あなたは、中小企業のWebマーケティングを数多く成功に導いてきた、経験豊富なSEOコンサルタントです。特に、小手先のテクニックではなく、ユーザーと検索エンジン双方から長期的に愛されるコンテンツ作りの専門家です。

#背景
私の会社（中小企業）では、Webサイトからの集客を増やすため、SEO対策としてブログ記事を量産しています。しかし、その手法は「狙っているキーワードを不自然なほど記事内に詰め込む」というもので、結果として非常に読みにくく、ユーザーにとって価値があるとは思えない記事ばかりが増えています。正直、このやり方で本当に効果が出るのか、むしろGoogleからペナルティを受けるのではないかと不安に感じています。

#依頼
プロのSEOコンサルタントとして、私たちの間違った状況を正し、成果につながる本質的なコンテンツSEOを実践するための具体的なアドバイスをください。以下の全ての項目について、初心者にも理解できるよう、丁寧かつ具体的に解説してください。

1.  **現状の分析とリスク:**
    *   キーワードを詰め込んだだけの読みにくい記事を量産する手法の、具体的な問題点とSEO上のリスク（ペナルティ、順位下落、ユーザー離脱率の上昇、ブランドイメージの低下など）を、厳しく指摘してください。
    *   なぜこのような手法が現在では通用しないのか、Googleのアルゴリズム（例: ユーザーエクスペリエンス、E-E-A-T、ヘルプフルコンテンツアップデート）の進化を交えて解説してください。

2.  **目指すべき正しい方向性:**
    *   私たちが今すぐ理解すべき「最新のコンテンツSEOの基本思想（ユーザーファースト、検索意図の充足など）」を教えてください。
    *   「読者の課題を解決する良いコンテンツ」とは何か、その定義を明確に示してください。

3.  **明日から始めるべき具体的なアクションプラン:**
    *   成果の出るブログ記事を作成するための、具体的なステップを以下の流れで示してください。
        1.  読者の悩みに寄り添う「キーワード選定」の方法
        2.  検索意図を完全に満たすための「記事構成案」の作り方
        3.  キーワードを自然に含めつつ、最後まで読んでもらえる「ライティング」のコツ
        4.  既存の「読みにくい記事」をどう改善（リライト）していくべきか、その優先順位の付け方と手順

4.  **改善イメージが湧く「Before→After」の書き換え例:**
    *   以下の【悪い記事の例】を、あなたが提唱する正しい手法で書き直した【良い記事の例（改善後）】を作成してください。どこをどのように改善したのか、ポイントも併記してください。

    【悪い記事の例（Before）】
    タイトル：東京 レンタルオフィス 格安！中小企業におすすめの東京 レンタルオフィス
    本文：東京でレンタルオフィスをお探しですか？私たちの東京 レンタルオフィスは格安で人気です。中小企業には東京のレンタルオフィスが最適。格安なレンタルオフィスは、コスト削減に繋がります。東京には多くのレンタルオフィスがありますが、私たちの格安レンタルオフィスは駅近で便利です。ぜひ東京のレンタルオフィスをご検討ください。
」"
,22,社長の個人的なFacebookアカウントで会社の宣伝をしており、公私混同な印象を与えてしまっている。,会社の公式アカウントを運用する時間がなく、社長が善意で、個人のFacebookアカウントで会社の情報を発信してくれている。,"「#### ▼▼▼ Geminiへのコピペ用プロンプト（社長のFacebook公私混同問題用） ▼▼▼
あなたは、中小企業のSNSマーケティングとブランド戦略を専門とする、非常に優秀なコンサルタントです。

# 相談したい状況
私が所属する中小企業で、社長がご自身の個人的なFacebookアカウントを使い、会社の宣伝を頻繁に行っています。友人とのプライベートな投稿の間に、突然商品の宣伝などが投稿されるため、社内外から「公私混同に見える」「会社の品位を下げかねない」といった懸念の声が上がっています。社長自身は会社のために良かれと思ってやっており、その熱意は素晴らしいのですが、伝え方を間違えるとやる気を削いでしまいそうで、誰も指摘できずにいます。

# 依頼事項
この状況を解決し、社長の熱意をより良い形で会社の成長に繋げるための、具体的かつ実践的なアクションプランを提案してください。以下の3つの要素を必ず含めてください。

1.  **現状のリスク分析：**
    社長が現在のスタイルで宣伝を続けることで、会社が被る可能性のある具体的なビジネスリスクを、「ブランドイメージ」「顧客からの信頼」「炎上可能性」の3つの観点から、深刻度が伝わるように説明してください。

2.  **社長への伝え方（会話シナリオ）：**
    私が社長にこの件を相談するための、具体的な会話のシナリオを作成してください。社長のプライドを尊重しつつ、現状の課題と新しい提案を前向きに受け入れてもらえるような、説得力のあるセリフと話の進め方を教えてください。

3.  **具体的な改善提案：**
    今後の代替案として、「会社の公式Facebookページを新たに作成・運用するプラン」を提案してください。その際、社長個人アカウントとの役割分担（例：社長は業界のインフルエンサーとしての発信、公式ページは顧客向け情報発信など）も明確にし、それぞれのメリットと、今日から始められる具体的な最初の3ステップを提示してください。
」"
,23,LINE公式アカウントを作って友達を集めたはいいが、配信する情報がなく、結局クーポンの一斉配信しかできていない。,LINE公式アカウントの友達は集めたが、一人一人に合わせた丁寧なコミュニケーションには時間がかかるため、クーポンの一斉配信といった施策に頼りがち。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（LINE公式アカウントのコンテンツ不足用） ▼▼▼

あなたは、中小企業のLINE公式アカウント運用に精通した、経験豊富なマーケティングコンサルタントです。

# 背景
私は中小企業でLINE公式アカウントの運用を担当しています。現在、以下の課題を抱えています。
- **課題：** 友達は順調に増えましたが、配信するコンテンツが思いつかず、結局月に1〜2回、割引クーポンを一斉配信するだけになっています。これでは顧客との関係性が築けず、ブロックされるばかりか、クーポンの時しか反応がない「クーポン待ち顧客」を増やしているだけだと感じています。

# 命令
この状況を打破し、顧客との関係性を深め、ブロック率を下げ、最終的に売上につなげるための、LINE配信コンテンツの具体的なアイデアと実行プランを提案してください。

# 私たちのビジネス情報
- **業種・事業内容：** [例：地域密着型のカフェ、オリジナルの化粧品を販売するECサイト、など]
- **主なターゲット顧客層：** [例：20代〜30代の働く女性、健康意識の高いシニア層、など]
- **扱っている商品やサービスの強み・特徴：** [例：オーガニックな食材へのこだわり、専門家によるカウンセリング、購入後の手厚いサポート、など]

# 出力要件
以下の構成で、上記のビジネス情報を踏まえた、具体的かつ実践的な提案をしてください。

1.  **脱・クーポン依存！ 5つのコンテンツカテゴリと具体案**
    - 顧客との関係を深めるためのコンテンツを、以下の5つのカテゴリに分けてください。
    - 各カテゴリについて、私たちのビジネスに合った具体的な配信コンテンツ案を、それぞれ3つ以上提案してください。
    - **カテゴリ：**
        1.  **お役立ち情報・専門知識**（顧客の悩みや興味に応えるコンテンツ）
        2.  **商品の裏側・こだわり紹介**（ファンを育てるコンテンツ）
        3.  **お客様とのコミュニケーション**（双方向性を生むコンテンツ）
        4.  **スタッフの人柄紹介**（親近感を醸成するコンテンツ）
        5.  **限定・先行情報**（特別感を演出するコンテンツ）

2.  **そのまま使える！ 配信メッセージテンプレート（3種）**
    - 上記「1」で提案したコンテンツ案の中から3つ選び、友だちが思わずタップしたくなるような、具体的な配信メッセージのテンプレート（件名と本文）を作成してください。

3.  **配信に迷わない！ 1週間の配信プラン（モデルケース）**
    - 提案してくれたコンテンツとクーポン配信を組み合わせた、1週間の配信スケジュールの例を、配信の目的とあわせて表形式で提案してください。
」"
,24,Webサイトが外部の制作会社にしか更新できない仕組みになっており、少しの修正でも費用と時間がかかり、情報がどんどん陳腐化していく。,Webサイトの修正を外部の制作会社に依頼すると、見積もりや調整に時間がかかるため、多少の情報が古くても、更新が後回しになってしまう。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（Webサイト更新の外注依存用） ▼▼▼
# 前提条件
あなたは、中小企業のWeb活用とDX推進を専門とする、非常に優秀な経営コンサルタントです。私の会社の状況を深く理解し、具体的で実行可能な解決策を提示してください。

# 課題状況
当社は、Webサイトの更新を外部の制作会社に完全に依存しています。HTMLや専門的な知識がないと更新できない仕組みのため、以下のような問題が発生しています。
- お知らせの追加やテキストの微修正といった簡単な更新でも、都度見積もりと発注が必要。
- 修正には費用（数万円〜）と時間（数日〜数週間）がかかり、経営のスピード感と合っていない。
- 結果的に更新が滞り、Webサイトに掲載されているサービス内容、価格、実績などの情報が古くなってしまっている。
- これにより、顧客からの信頼低下やビジネス機会の損失につながっていると危惧している。

# 当社の情報（[ ]内を書き換えてください）
- **業種:** [例：製造業、飲食店、コンサルティングなど]
- **Webサイトの主な目的:** [例：新規顧客からの問い合わせ獲得、商品紹介、採用活動など]
- **理想的な更新頻度:** [例：週に1回程度、新しい実績ができた都度など]
- **Webサイトにかけられる月間予算（更新・管理）:** [例：3万円以内、5万円〜10万円など]
- **想定される更新担当者のITスキル:** [例：PCでの資料作成はできるが専門知識はない、ブログの投稿経験はあるなど]

# 命令
上記の課題と当社の状況を踏まえ、私たちが「自社のタイミングで」「迅速に」「低コストで」Webサイトを更新できる体制を構築するための、最適な解決策を提案してください。

以下の形式で、ステップを踏んで回答してください。

1.  **課題の整理:**
    この状況が当社に与える具体的な悪影響（リスクや機会損失）を、経営者の視点から3つ挙げてください。

2.  **解決策の選択肢と比較:**
    考えられる解決策の選択肢を複数（最低4つ）提示し、それぞれの「メリット」「デメリット」「概算費用（初期/月額）」「導入の難易度」「おすすめの企業タイプ」をまとめた比較表を作成してください。
    （例：WordPress等のCMS導入、ノーコードツールへの移行、現サイトの部分的なCMS化、制作会社との契約見直しなど）

3.  **推奨プランの提案:**
    当社の情報（#当社の情報）を考慮した上で、最も現実的で効果的なプランを1つ選び、その選定理由を明確に説明してください。

4.  **具体的なアクションプラン:**
    上記3で提案した推奨プランを実行するための具体的なステップを、ITに詳しくない担当者でも理解できるよう、最初のステップから5〜7段階で時系列に沿って具体的に示してください。どこに、何を相談すればよいかまで含めてください。
」"
,25,会社の公式SNSアカウントの担当者が、個人の趣味やノリで投稿しており、企業のトーン＆マナーが全く守られていない。,会社の公式SNSアカウントの運用マニュアルを作成したり、投稿内容をダブルチェックしたりする時間がなく、担当者個人の裁量に任されている。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（SNS担当者のトーン＆マナー逸脱問題用） ▼▼▼
#役割
あなたは経験豊富なSNSマーケティングコンサルタント兼コミュニケーションの専門家です。

#背景
私は中小企業のマネージャーです。最近、会社の公式SNSアカウントの運用について悩んでいます。
- **担当者:** 若手社員が一人で担当しています。非常に熱心で、アカウントを盛り上げようと頑張ってくれています。
- **問題点:** 彼の投稿が、個人の趣味や内輪のノリに寄りすぎており、会社として定めている「丁寧で信頼感のある」トーン＆マナーから逸脱しています。例えば、過度なスラングの使用、企業のイメージに合わないキャラクターの画像使用などが見られます。
- **懸念:** 担当者本人に悪気はなく、良かれと思ってやっているため、彼のやる気を削いでしまったり、関係性を損なったりすることなく、問題を解決したいです。

#命令
上記の状況を踏まえ、私が担当者と建設的な対話をするための具体的なアクションプランを提案してください。以下の3つの要素を必ず含めてください。

1.  **【問題解決のための3ステップ】**
    私が担当者と話し合い、問題を解決するまでのプロセスを、具体的な3つのステップで示してください。

2.  **【伝えるべき最重要ポイント】**
    話し合いの際に、担当者に必ず理解してもらうべき最も重要なポイントを3つ挙げてください。

3.  **【効果的な切り出しトーク例】**
    1on1でこの話題を切り出す際の、相手を尊重しつつ本題に入れる「最初の一言」の具体的なセリフ例を3パターン作成してください。
」"
,26,YouTubeチャンネルを開設したが、再生回数が2桁から伸びず、担当者のモチベーションが低下している。,YouTubeチャンネルの動画制作には多くの時間がかかるが、その時間を十分に確保できず、クオリティの低い動画しかアップできずにいる。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（YouTubeチャンネルの再生回数が伸び悩んでいる状況用） ▼▼▼
#役割
あなたは、中小企業のYouTubeチャンネル運用を数多く成功に導いてきた、経験豊富なYouTubeコンサルタントです。特に、限られたリソース（人・モノ・カネ）の中で成果を出すための実践的かつ具体的な戦略立案と、担当者のモチベーションを維持・向上させるためのコーチングを得意としています。

#背景
私は中小企業でYouTubeチャンネルの担当をしています。しかし、チャンネルを開設してから数ヶ月経ちますが、ほとんどの動画の再生回数が2桁から伸びず、正直なところ心が折れそうです。このまま続けても意味があるのか、自信を失っています。私たちの状況は以下の通りです。

*   **当社の事業内容・商材:** [ここに事業内容や商材を具体的に記入してください。例：業務用厨房機器の製造・販売]
*   **YouTubeチャンネルの目的:** [ここにチャンネルの目的を記入してください。例：製品の認知度向上と、飲食店経営者からの問い合わせ獲得]
*   **ターゲット視聴者層:** [ここにターゲット層を記入してください。例：これから開業を考えている30代の飲食店オーナー]
*   **現在投稿している動画の主な内容:** [ここに現在の動画内容を記入してください。例：自社製品の機能紹介動画]

#命令
この絶望的な状況を打破し、担当者である私のモチベーションを再燃させるための、具体的で実行可能なアクションプランを提案してください。単なる精神論ではなく、「なぜそれを行うのか」という理由と共に、明日からすぐに試せる具体的なステップと、中長期的な視点での戦略を、以下の構成で体系的に示してください。

【提案の構成】
1.  **冷静な現状分析:** 私たちのチャンネルの再生回数が伸び悩んでいる根本原因として考えられることを、客観的な視点から5つ、仮説として挙げてください。
2.  **緊急アクションプラン（最初の1ヶ月で取り組むべきこと）:**
    *   **即時改善テクニック:** 費用をかけずに、今アップロードされている動画ですぐに改善できること（タイトル、サムネイル、概要欄、タグ設定など）を3つ、具体的な「改善前」→「改善後」の例を挙げて教えてください。
    *   **次の1本で試すべき動画企画:** 次に投稿すべき動画の企画アイデアを3つ、それぞれの企画意図（なぜそれがターゲットに響くのか）と、制作のポイントを添えて提案してください。
3.  **中長期的なグロース戦略（3ヶ月〜6ヶ月で目指す姿）:**
    *   **コンテンツの型作り:** 再生回数を安定させ、チャンネル登録者を増やすための「シリーズ企画」や「動画フォーマット」のアイデアを2つ提案してください。
    *   **外部流入の仕組み化:** YouTube以外（例：自社ウェブサイト、既存顧客へのメール、他のSNS）から視聴者を呼び込むための、賢い連携方法を教えてください。
4.  **担当者のためのモチベーション維持術:**
    *   **視点の転換:** 再生回数という結果だけを見て落ち込むのではなく、その手前にある「見るべき重要な指標（例：クリック率、視聴維持率、コメント内容など）」と、その指標から何を読み取り、次の一手につなげるべきかを具体的に解説してください。
    *   **小さな成功の作り方:** 大きな成果を焦るのではなく、着実に自信を取り戻すために設定すべき「小さな目標」の例と、それを達成した時にチームでどのように称賛し合うべきか、具体的な方法をアドバイスしてください。
」"
