カテゴリ,番号,,想定シーン,プロンプト本文
,28,問い合わせメールへの返信テンプレートがなく、担当者によって署名の形式や文章の丁寧さが全く違う。,問い合わせメールへの返信テンプレートを作成し、全社で統一するという作業まで、日々の顧客対応に追われて手が回らない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（問い合わせメール返信の標準化用） ▼▼▼

#役割
あなたは、中小企業の顧客対応と業務標準化を専門とする、経験豊富なビジネスコンサルタントです。丁寧かつ効率的なコミュニケーション設計を得意としています。

#背景
私が所属する中小企業では、お客様からの問い合わせメールに対する返信テンプレートが存在しません。その結果、担当者ごとに文章の丁寧さ、構成、署名の形式が異なり、会社としての統一感がなく、顧客に与える印象にばらつきが出てしまっています。

#命令
この問題を解決するため、誰が使っても「丁寧・分かりやすい・迅速」という良い印象を与えられる、高品質なメール返信テンプレートを作成してください。以下の条件をすべて満たすように、最高のテンプレートを提案してください。

#条件
1.  **対応状況別のテンプレート作成:**
    お客様からの問い合わせで頻繁に発生する、以下の4つの状況に対応するテンプレートを作成してください。
    *   **パターンA：【即時回答用】** 問い合わせ内容に、その場ですぐに回答できる場合。
    *   **パターンB：【要調査・一次返信用】** 回答に調査が必要で、取り急ぎ連絡を受け付けたことを伝え、回答の目安を知らせる場合。
    *   **パターンC：【お断り用】** ご要望やご依頼に対して、丁寧にお断りする必要がある場合。
    *   **パターンD：【担当引き継ぎ用】** 問い合わせ内容が自身の担当外で、他の担当者や部署に引き継ぐことを伝える場合。

2.  **テンプレートに含める要素:**
    *   **件名:** 元の件名に「Re:」をつけ、用件が分かるように【株式会社〇〇より】と社名を入れる形式とします。
    *   **宛名:** 会社名、部署名、担当者名を記載する形式。
    *   **本文:** `[ここに〇〇を記入]` のように、担当者が追記・修正する箇所を明確に示してください。
    *   **結び:** 丁寧な結びの言葉を入れてください。
    *   **署名:** 以下の形式で、統一された署名テンプレートも作成してください。

3.  **統一署名テンプレートの形式:**
    ```
    ----------------------------------------
    株式会社〇〇 〇〇部
    氏名：〇〇 〇〇
    
    〒〇〇〇-〇〇〇〇
    東京都〇〇区〇〇1-2-3 〇〇ビル4F
    TEL: 03-1234-5678
    FAX: 03-1234-5679
    Email: your.name@example.com
    URL: https://www.example.com
    ----------------------------------------
    ```

#出力形式
*   はじめに「統一署名テンプレート」を提示してください。
*   次に「パターンA」から「パターンD」までの4つのメール返信テンプレートを、それぞれ明確に見出しを付けて提示してください。
*   最後に、これらのテンプレートを社内で運用する際の「活用のポイント」を箇条書きで3つ簡潔にまとめてください。
」"
,29,動画コンテンツと、Webサイトの記事コンテンツで、発信しているメッセージの軸がブレている。,動画と記事など、異なるフォーマットのコンテンツを、一貫したメッセージで企画・制作するための、戦略的な時間を確保できていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（動画と記事コンテンツのメッセージ軸のブレ用） ▼▼▼
# あなたの役割
あなたは、中小企業のブランド戦略とコンテンツマーケティングを専門とする、経験豊富なコンサルタントです。複雑な状況を整理し、具体的で実行可能なアクションプランを提示することを得意とします。

# 私の状況
私は中小企業でコンテンツマーケティングを担当しています。現在、動画コンテンツ（YouTubeなど）と、自社Webサイトの記事コンテンツの両方を運営していますが、それぞれで発信しているメッセージの軸やトーン＆マナーに一貫性がなく、バラバラな印象を与えてしまっています。このままでは、ブランドイメージが曖昧になり、本来伝えたい価値が顧客に届かないのではないかと危惧しています。

# 依頼事項
この「メッセージの軸のブレ」という問題を根本から解決し、動画と記事の両チャネルで一貫性のある力強いメッセージを発信できるようになるための、網羅的かつ具体的な改善プランをステップバイステップで提案してください。

# 提案に含めてほしい要素
1.  **現状分析と課題の特定:**
    *   私たちの状況から考えられる「メッセージの軸がブレてしまう根本的な原因」を仮説として3つ挙げてください。
    *   メッセージの軸を統一するために、まず私たちが確認・議論すべき最重要事項は何ですか？

2.  **ブランドの核となるメッセージの再定義:**
    *   私たちが立ち返るべき「ブランドのコアメッセージ」を明確にするための、本質を突く質問を5つ投げかけてください。
    *   その質問への回答を元に、コアメッセージの簡潔なステートメント例を3パターン作成してください。

3.  **各コンテンツチャネルの役割分担と連携戦略:**
    *   再定義したコアメッセージに基づき、「動画コンテンツ」と「記事コンテンツ」がそれぞれ担うべき最適な役割と目的を定義してください。
    *   両者が単なる情報の使い回しではなく、連携して相乗効果を生み出すための具体的な戦術（例：動画の要約記事化、記事内容を深掘りする対談動画など）を3つ提案してください。

4.  **具体的な実行プラン:**
    *   明日からチームで取り組むべきアクションを、最初の1週間、次の1ヶ月という時間軸で整理し、具体的なTo-Doリストとして提示してください。
    *   コンテンツ制作時に、チーム全員が常に立ち返ることができる「コンテンツチェックリスト」の項目を5つ提案してください。

# 補足情報（以下の【】をあなたの状況に合わせて書き換えてください）
*   **事業内容:** 【例：法人向けに特化した業務効率化SaaSツールの開発・販売】
*   **ターゲット顧客:** 【例：従業員50名以下の中小企業の経営者やバックオフィス担当者】
*   **現状の動画コンテンツの傾向:** 【例：ツールの機能紹介や操作方法の解説が中心】
*   **現状の記事コンテンツの傾向:** 【例：業界ニュースの解説や、一般的な業務ハックの紹介が中心】
*   **私たちが理想とするブランドイメージ:** 【例：中小企業の悩みに寄り添う、信頼できるパートナー】
」"
,30,製品名はモダンなのに、その製品を使っている営業車のデザインが古臭い。,営業車のデザイン変更は、全車両への展開に時間とコストがかかるため、製品のリニューアルサイクルと同期できていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（営業車のデザインが古臭い用） ▼▼▼
あなたは、中小企業のブランド価値向上を専門とする、経験豊富なブランドコンサルタント兼アートディレクターです。

私たちの会社が直面している以下の課題について、具体的かつ実行可能なアクションプランを提案してください。

# 課題背景
- **会社:** 革新的な技術製品を開発・販売する中小企業です。
- **製品:** 製品名はモダンで先進的なイメージ（例：「AetherDrive」「QuantumLeap」など）を持っています。
- **問題点:** 営業活動で使用している営業車（一般的な商用バン）のデザインが非常に古臭く、製品のモダンなイメージと著しく乖離しています。このギャップが、顧客に与える印象を損ない、ブランドイメージの毀損につながっていると懸念しています。
- **制約:** 中小企業であるため、予算は限られています。コストパフォーマンスを最大限に高めるアイデアを求めています。

# 依頼事項
上記課題を解決するため、限られた予算内で最大の効果を発揮する「営業車の新しいデザインコンセプト」と、それを活用した「プロモーション戦略」を、以下の構成で提案してください。

1.  **デザインコンセプト提案（3案）**
    *   **コンセプト名:**（例：「テック・ミニマリズム」「アーバン・コネクト」など）
    *   **ターゲットに与える印象:**（例：信頼性、親しみやすさ、先進性など）
    *   **具体的なデザイン要素:**
        *   ベースとなるカラーリング
        *   ロゴの効果的な配置場所とサイズ
        *   製品の価値を伝えるキャッチコピー（簡潔なもの）
        *   カッティングシートやカーラッピングを効果的に使ったグラフィック表現のアイデア

2.  **低コストで実現するための具体的な手法**
    *   全面塗装ではなく、部分的なラッピングやカッティングシートで効果を出す方法。
    *   コストを抑えつつ、プロフェッショナルな見た目を実現するための業者選びのポイントや注意点。

3.  **デザイン刷新を最大限に活用するプロモーション戦略**
    *   SNS（特にInstagramやX）で「#走る広告塔」として話題化させるための投稿アイデア。
    *   デザイン変更をフックにした、地域社会や顧客向けの簡単なキャンペーン案。
    *   営業担当者のモチベーション向上に繋げるための社内向けの工夫。

4.  **期待される効果**
    *   この施策によって得られる、ブランドイメージ向上や認知度拡大などの具体的なメリットをリストアップしてください。

# アウトプットのトーン
専門的でありながらも、私たちが明日からすぐに会議で議論できるような、分かりやすく情熱的な言葉で提案をお願いします。
」"
,31,社長がメディアの取材で語る内容と、現場の社員が顧客に語る内容に温度差やズレがある。,社長がメディア取材で語る内容を、事前に現場社員に共有し、メッセージの目線合わせをする、という丁寧なプロセスを踏む時間がない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（社長と現場のメッセージのズレ解消用） ▼▼▼

#役割
あなたは組織コミュニケーションとブランド戦略を専門とする、経験豊富な経営コンサルタントです。

#背景
私が所属する中小企業では、社長がメディア取材などで語る「先進的なビジョン」や「壮大な事業計画」と、現場の社員が日々お客様に説明している「現実的な製品の機能、納期、課題」との間に、大きな温度差と内容のズレが生じています。
このギャップは、お客様に混乱を与え、社外に対するメッセージの一貫性を損なうだけでなく、社員のエンゲージメント低下にも繋がりかねないと危惧しています。

#依頼
この問題を根本的に解決し、社長から現場社員まで一貫したメッセージを社内外に発信できる組織になるための、具体的で実行可能なアクションプランを提案してください。

#出力形式
以下の4つのステップで、体系的に提案を構成してください。

1.  **【ステップ1: 現状把握と課題の可視化】**
    *   社長の発信内容と現場の顧客説明内容の「ズレ」を具体的に洗い出すための、効果的な方法を3つ挙げてください。

2.  **【ステップ2: 社内へのビジョン浸透策】**
    *   社長が語るビジョンを、現場の社員が「自分ごと」として捉え、日々の顧客対応の言葉に落とし込めるようにするための、具体的な施策を3つ提案してください。（例：勉強会、対話セッション、翻訳ツールの作成など）

3.  **【ステップ3: 現場の声を経営に活かす仕組み】**
    *   現場で得られた顧客のリアルな声や課題感を、社長のビジョンや対外的なメッセージにフィードバックするための、継続可能な仕組みを2つ提案してください。

4.  **【ステップ4: 一貫性を保つためのコミュニケーションツール】**
    *   全社でメッセージの統一を図るために作成すべき、具体的なコミュニケーションツール（例：トークスクリプト、FAQ集、社内用語集など）とその活用方法を提案してください。

#制約条件
*   提案は、リソースが限られている中小企業でも明日から実践できるレベルの具体性にしてください。
*   抽象的な精神論ではなく、具体的な行動に繋がる内容を重視してください。
」"
,32,ブランドガイドラインが存在しない、またはあっても形骸化しており、誰も参照していない。,ブランドガイドラインを作成する、まとまった時間を確保できず、結果として、各担当者の裁量に任されてしまっている。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（ブランドガイドラインの再構築用） ▼▼▼

#役割
あなたは、中小企業のブランド戦略に精通した、経験豊富なブランドコンサルタントです。

#背景
私の会社は中小企業で、現在ブランドガイドラインが存在しない、もしくは作成されたものの形骸化して誰も参照していないという深刻な問題を抱えています。
その結果、部署や担当者によってロゴの使い方、色、フォント、文章のトーン＆マナー（トンマナ）がバラバラで、顧客や取引先に与えるブランドイメージに一貫性がなく、機会損失につながっている可能性があります。

#依頼
そこで、あなたにブランドコンサルタントとして、私たちの会社のブランド価値を再定義し、全社員が「使いたい」と思えるような、実践的で分かりやすいブランドガイドラインを策定するための、具体的なアクションプランを立案してほしいです。

#タスク
以下のステップに従って、私との対話を通じて、私たちの会社に最適なブランドガイドライン策定プロジェクトを段階的に進めてください。
あなたの最初の応答では、まずステップ1のみを実行してください。その後、私の回答を待ってから、次のステップに進むという対話形式でお願いします。

---
**【ブランドガイドライン策定プロジェクト】**

**ステップ1：現状分析とブランドの核の深掘り**
私たちの会社の現状と目指すべき姿を明確にするため、以下の点について私に質問をしてください。質問は全部で5つに絞ってください。
*   企業の存在意義や使命（ミッション）
*   目指している将来像（ビジョン）
*   顧客に提供している独自の価値（バリュープロポジション）
*   主要なターゲット顧客層
*   競合他社と比較した際の強み

**ステップ2：ブランドガイドラインの骨子提案**
私の回答に基づき、中小企業が運用しやすいように項目を絞った、実践的なブランドガイドラインの目次（骨子）を提案してください。各項目には、なぜそれが必要なのかという簡単な説明も加えてください。

**ステップ3：ガイドライン策定の進め方と体制の提案**
このプロジェクトを誰が、どのように進めていくべきか、具体的な進め方（タスクリストとスケジュール案）と、社内の誰を巻き込むべきか（プロジェクトチームの体制案）を提案してください。

**ステップ4：形骸化させないための社内浸透プランの提案**
作成したガイドラインが確実に全社員に浸透し、継続的に活用されるための具体的な施策を、以下の観点から3つ以上提案してください。
*   発表・共有の方法
*   活用のためのトレーニングやワークショップ
*   更新・管理のルール

---

それでは、早速ですが **ステップ1** の質問から始めてください。
」"
,33,新しい製品やサービスを始めるたびに、その場のノリでロゴやWebサイトを作ってしまい、既存ブランドとの関連性が考慮されていない。,新しい製品やサービスを立ち上げる際、スピードが優先され、既存ブランドとの関連性をじっくりと検討する時間が省略されがち。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（場当たり的なブランディング用） ▼▼▼

あなたは、中小企業のブランド戦略を数多く成功に導いてきた、経験豊富なブランドコンサルタントです。

# 相談したい状況
私は中小企業で働く担当者です。私たちの会社には、以下のような深刻な課題があります。
- **課題:** 新しい製品やサービスを立ち上げる際、明確なルールや戦略がないため、その場の担当者の感覚や流行りだけでロゴやWebサイトを制作してしまいます。
- **結果:** 企業全体のブランドイメージに一貫性がなく、顧客に「結局、何の会社なのか」が伝わりにくくなっています。既存のブランド資産を活かせず、毎回ゼロから認知度を高める必要があり、非常に非効率です。

# 依頼事項
この問題を根本的に解決し、今後、誰が担当してもブランドの一貫性を保ちながら新しい製品・サービスの開発ができるようになるための、**具体的で実践的なアクションプラン**を提案してください。

# 出力形式の要件
以下の構成で、私たちが明日からすぐに使えるような形で、ステップ・バイ・ステップのガイドを作成してください。

###ステップ1：ブランドの羅針盤を作る「ブランドコアの再定義」
- 既存の製品・サービスのブランド要素（ロゴ、カラー、キャッチコピー等）を整理し、現状を把握するための簡単な方法を教えてください。
- 会社全体の「ブランドの核（我々は何者で、どこを目指すのか）」を再確認するための、役員やメンバーと議論できるシンプルな質問リストを5つ作成してください。

###ステップ2：迷いをなくす意思決定ツール「ブランド適合性チェックリスト」
- 新しい製品・サービスのアイデアが、ステップ1で定義した「ブランドの核」と適合するかどうかを判断するための、具体的なチェックリストを作成してください。（はい/いいえで答えられる形式で7項目）

###ステップ3：再現性を生む設計図「簡易ブランドガイドライン」
- 中小企業でも無理なく運用できる、最低限これだけは決めておくべきという「簡易ブランドガイドライン」のテンプレート（目次と各項目の説明）を提示してください。
    - **含めるべき項目:**
        - ロゴの使用ルール（最小サイズ、アイソレーションなど）
        - ブランドカラー（プライマリー、セカンダリー）
        - フォント（見出し用、本文用）
        - 写真・イラストのスタイル（トンマナ）
        - ブランドパーソナリティ（声のトーン）

###ステップ4：外部パートナーへの的確な指示「依頼文テンプレート」
- 新しいロゴやWebサイトを外部のデザイナーや制作会社に発注する際に、ステップ3のガイドラインを基にして、ブランドの一貫性を保ったデザインを依頼するための「依頼文のテンプレート」を作成してください。

**# 命令の補足**
- 専門用語は避け、誰にでも理解できる平易な言葉で説明してください。
- すべての提案は、私たちがすぐに行動に移せるように、具体的かつ実践的であることを重視してください。
」"
,34,SNSではSDGsへの取り組みをアピールしているのに、実際の製品は過剰包装である。,環境に配慮したパッケージを開発・採用するには、調査やコスト計算に時間がかかるため、従来の過剰包装のままになってしまっている。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（SDGsと過剰包装の矛盾用） ▼▼▼
#役割
あなたは、中小企業のサステナビリティ経営とブランディング戦略に精通した、非常に優秀な経営コンサルタントです。

#背景
私は中小企業に勤務しており、自社の状況について相談があります。
当社は、SNSなどの広報活動ではSDGsへの貢献を積極的にアピールしています。しかし、その一方で、主力製品の包装が明らかに過剰であり、プラスチックを多用しています。
このSNSでの発信と実態の乖離は、いわゆる「SDGsウォッシュ」と顧客や社会から見なされる大きなリスクを孕んでいると危機感を抱いています。

#命令
この矛盾を解消し、企業価値を向上させるために、以下の項目について、私が上司や経営層に提案することを前提としたレポート形式で、具体的かつ実践的なアドバイスを作成してください。

#レポート構成
## 1. 現状の分析
### 1.1. 「SNSでのSDGsアピール」と「過剰包装」の矛盾がもたらすビジネスリスク
- ブランドイメージの毀損
- 顧客ロイヤルティの低下
- 採用活動への悪影響
- 潜在的な炎上リスク

### 1.2. この矛盾が発生していると考えられる社内的な背景・原因
- 部署間の連携不足（広報部門と製造・購買部門）
- 品質保持や破損防止への過剰な懸念
- 従来の包装コストやオペレーションへの固執
- SDGsへの取り組みが「広報活動」に留まっている現状

## 2. 課題解決に向けた具体的なアクションプラン
### 2.1. 短期的に着手できる対策（明日からでも始められること）
- SNSでのコミュニケーション方針の見直し（現状の課題と改善への意志を発信するなど）
- 顧客からの意見を収集する仕組みの導入

### 2.2. 中長期的に取り組むべき抜本的な対策
- 環境配慮型素材への切り替えロードマップ作成
- サプライヤーとの協業による包装設計の見直し
- 「脱・過剰包装」を新たな付加価値とするブランディング戦略

## 3. 社内を動かすためのコミュニケーション戦略
### 3.1. 経営層を説得するための提案ストーリーと想定問答
- **提案ストーリー**: リスク回避だけでなく、コスト削減や企業イメージ向上、新たな顧客層の獲得といった「攻めの機会」として提案するロジック。
- **想定問答**: 「コストが上がるのではないか？」「品質は担保できるのか？」といった懸念に対する具体的な切り返し方。

### 3.2. 関連部署（製造、購買、営業など）を巻き込むための具体的な働きかけ方

#制約事項
- 中小企業の限られたリソース（人材、予算）でも実行可能な現実的な提案にしてください。
- 専門用語は避け、平易な言葉で説明してください。
- 各項目は箇条書きを効果的に使用し、分かりやすくまとめてください。
」"
"C. 社内への浸透不足（インナーブランディング）

（社員が自社のブランドや理念に共感・理解しておらず、誇りを持って仕事に取り組めていない状況）
",35,社員が自社の製品やサービスを使ったことがない、または詳しく知らず、その魅力を自分の言葉で語れない。,社員が自社の新製品やサービスについて、業務時間内にじっくりと学び、理解を深めるための研修の機会が十分に設けられていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（自社製品の魅力を語るトレーニング用） ▼▼▼

# 役割
あなたは、顧客の心を掴むプレゼンテーションを教えるプロの研修講師です。私のコーチとして、私が自社の製品やサービスの魅力を「自分の言葉」で語れるように、対話形式のロールプレイングを通じてトレーニングを行ってください。ポジティブで、私の気づきを促すような対話を心がけてください。

# あなた（研修受講者）が入力する情報
これから、私が魅力を語れるようになりたい製品・サービスについて、以下の情報を入力します。この情報を元に、トレーニングを開始してください。

- **【製品・サービス名】:** 
- **【主な特徴や機能（3〜5つ）】:**
  - 
  - 
  - 
- **【想定している顧客層】:** 
- **【私が感じている課題】:** (例：特徴は説明できるが、お客様に「すごいね！」と思ってもらえない。他社製品との違いをうまく言えない。など)

# 実行ステップ
1. あなたはまず、私（研修講師）として自己紹介をしてください。
2. 私（受講者）が入力した情報について、その製品の「本当の価値」や「顧客にとっての喜び」を深掘りするための質問を2〜3つ投げかけてください。
3. 私たちの対話を通じて明確になった価値を元に、顧客の心に響く「魅力の伝え方（セールストークの切り口）」を3つのコンセプトとして提案してください。
4. 私がその中から1つコンセプトを選びます。
5. あなたが顧客役となり、私が選んだコンセプトを使って製品を説明するロールプレイングを始めます。あなたは顧客として、ごく自然な質問や、時には少し意地悪な質問（例：「それって、〇〇社の製品と同じじゃないの？」）も投げかけてください。
6. ロールプレイングが終わったら、私の説明の良かった点と、さらに改善するための具体的なアドバイスをフィードバックしてください。

さあ、上記【】内に情報を入力し、トレーニングを開始してください。
」"
,36,採用面接で、自社の魅力をいきいきと語れる社員が少なく、「給与が良い」「休みが取れる」といった条件面の話に終始する。,採用面接の担当者が、日々の業務の合間に面接を行っているため、会社の魅力を伝えるための十分な準備やトレーニングができていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（採用面接での魅力発信力強化用） ▼▼▼
# あなたへの役割付与
あなたは、数多くの中小企業の採用を成功に導いてきた、経験豊富な採用コンサルタントであり、人の心を動かすストーリーテリングの専門家です。

# 私の状況と依頼
私は中小企業で採用面接を担当しています。しかし、面接で応募者に自社の魅力を伝える際、つい「給与が良い」「休みが取りやすい」といった条件面の話ばかりになってしまい、仕事のやりがいや社風といった本質的な魅力が伝わっていないことに悩んでいます。
そこで、応募者の心に響き、「この会社で働きたい！」と思ってもらえるような、自社の魅力をいきいきと語るための具体的な方法を教えてください。

# 実行してほしいこと
以下の3つのステップで、私たちの会社が面接で使える具体的なアウトプットを作成してください。

### ステップ1：自社の「隠れた魅力」を発見するための質問リスト
条件面以外で、社員一人ひとりが感じている「働きがい」や「会社の好きなところ」を具体的に引き出すための、内省を促す質問を10個作成してください。
（例：「この会社に入って、一番成長できたと感じる経験は何ですか？」、「困難なプロジェクトをチームで乗り越えた時の、最も記憶に残っているエピソードを教えてください。」など）

### ステップ2：魅力が伝わる「ストーリー型」トークスクリプト作成
ステップ1の質問への回答を元にしたと仮定して、面接の様々な場面で使える魅力的なトークスクリプトを、以下の3つのテーマで作成してください。各スクリプトには、具体的なエピソードを盛り込み、応募者の感情に訴えかけるストーリーにしてください。

*   **テーマA：【社風・チームワーク】「うちは本当に人が良いんです」を具体的に伝えるトーク**
*   **テーマB：【仕事のやりがい・事業の魅力】「社会の役に立っている」実感と情熱を伝えるトーク**
*   **テーマC：【成長環境】「若手でも挑戦できる」文化をリアルに伝えるトーク**

### ステップ3：いきいきと語るためのポイント
作成したトークスクリプトを、単なる説明で終わらせず、熱意を込めて「いきいきと」語るための、話し方のコツや心構えを3つ、箇条書きで簡潔にアドバイスしてください。

# 制約条件
*   中小企業ならではの強み（例：裁量権の大きさ、経営陣との距離の近さ、一体感、スピード感など）を意識した内容にしてください。
*   専門用語は避け、誰にでも分かりやすい言葉で表現してください。
」"
,37,社内イベントがただの飲み会や慰安旅行で終わってしまい、会社のビジョンや理念を共有する貴重な機会として活かされていない。,社内イベントを、会社のビジョンや理念を共有する場として企画するには多くの準備時間が必要なため、手軽な飲み会や慰安旅行になりがち。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（社内イベントの形骸化用） ▼▼▼

#役割
あなたは、中小企業の組織開発を専門とし、数多くの企業の文化醸成を成功させてきた経験豊富なコンサルタントです。特に、形骸化した社内イベントを「組織のエンジン」に変えるための実践的な企画立案を得意としています。

#背景
私（研修受講者）が所属する中小企業では、社内イベントが単なる慰安目的の飲み会や旅行で終わってしまっています。これを、会社のビジョンや理念を全社員で深く共有し、一体感を醸成して明日からの仕事へのモチベーションを高めるための、戦略的で有意義な機会へと根本から変革したいと考えています。

#制約条件
- 予算や準備にかけられる人的リソースは限られています。
- 参加者が「やらされ感」を感じるのではなく、自然と楽しみながら参加できる内容であることが重要です。

#命令
上記の背景と制約条件に基づき、以下の体系的なステップに従って、私たちの会社を生まれ変わらせるための「社内イベント改革プラン」を提案してください。

### ステップ1: イベント目的の再定義
まず、イベントの成功に不可欠な「目的」を明確にします。「ビジョン共有」「理念浸透」「相互理解の促進」「チームビルディング」の4つの観点から、イベントが目指すべき具体的なゴールを定義してください。

### ステップ2: 目的別の具体的な企画案
ステップ1で定義した4つの目的それぞれに対して、斬新かつ低コストで実現可能な企画案を3つずつ（合計12案）提案してください。各企画案は、以下の項目を網羅した【表形式】で分かりやすくまとめてください。

【表の項目】
- **企画名:** キャッチーで内容がイメージしやすい名前
- **目的カテゴリ:**（ビジョン共有、理念浸透、相互理解、チームビルディングのいずれか）
- **概要:** どのような内容のアクティビティか
- **期待される効果:** この企画を通じて得られる最も重要な成果
- **準備のポイント:** 最小限のリソースで実行するためのコツや注意点

### ステップ3: イベントを成功に導く「仕掛け」
企画倒れで終わらせず、効果を最大化するために、イベントの「事前」「当日」「事後」の各フェーズで実行すべき、参加者の当事者意識を高めるための具体的なアクションプランを提案してください。
- **事前:** 参加への期待感を高めるための告知や働きかけ
- **当日:** 全員が主役になれるような運営上の工夫
- **事後:** イベントでの学びや熱量を日常業務に繋げるためのフォローアップ

### 最後の総括
コンサルタントとして、この改革を絶対に成功させるために、経営者や企画担当者が心に刻むべき最も重要なアドバイスを、熱意のこもった力強いメッセージで一つだけ示してください。
」"
,38,新入社員研修で経営理念を暗唱させるが、その理念が日々の業務とどう繋がっているのかを誰も説明できない。,新入社員研修で経営理念を教えるが、研修担当者が、その理念と日々の業務の繋がりを具体的に説明するためのコンテンツを準備する時間がない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（経営理念と業務の接続用） ▼▼▼
#役割
あなたは、経営理念を深く理解し、それを日々の業務で体現している、面倒見の良い優秀な先輩社員です。新入社員の悩みに寄り添い、具体的なアドバイスで成長をサポートするのが得意です。

#背景
私は、今年入社した新入社員です。所属部署は「**[ここにあなたの部署名を入力]**」で、主な業務は「**[ここにあなたの具体的な業務内容を簡単に入力]**」です。
研修で以下の経営理念を学びましたが、抽象的で、日々の業務とどう繋がるのか具体的にイメージできずにいます。

**#会社の経営理念**
```
**[ここに会社の経営理念を貼り付けてください]**
```

#依頼
この経営理念が、私にとって明日からの仕事の「道しるべ」となるように、以下の3つのステップで具体的に教えてください。

1.  **【理念の翻訳】**
    経営理念の各項目を、新入社員の私でも具体的にイメージが湧くように、身近な例え話を交えながら、その本当の意味を解説してください。

2.  **【業務との接続】**
    私の部署と業務内容を踏まえ、理念の各項目が「どのような仕事の場面で」「どのように活かせるのか」を、具体的なシーンを挙げながら説明してください。

3.  **【最初の一歩】**
    私が明日から意識できる「具体的な行動」を3つ提案してください。そして、それぞれの行動が「なぜ理念の体現に繋がるのか」も分かりやすく教えてください。

#トーン＆マナー
専門用語は使わず、親しみやすく、私のモチベーションが上がるようなポジティブな語り口でお願いします。
」"
,39,給与や待遇といった条件面だけで社員をつなぎとめており、会社の理念や事業への共感を醸成する努力を怠っている。,日々の目標管理や業務遂行に時間が割かれ、会社の理念や事業への共感を、時間をかけて醸成するような活動が後回しになる。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（理念共感の醸成用） ▼▼▼

#役割
あなたは、中小企業の組織開発と従業員エンゲージメント向上を専門とする、経験豊富な経営コンサルタントです。数多くの企業を「待遇だけで人が集まる組織」から「理念とビジョンで人が輝く組織」へと変革させてきた実績を持っています。

#背景
私は中小企業の経営者です。私たちの会社は以下の「状況」に直面しており、このままでは会社の未来が危ういと強い危機感を抱いています。

#状況
- **課題:** 給与や待遇といった条件面だけで社員をつなぎとめており、会社の理念や事業への共感を醸成する努力を怠っている。
- **結果:** 社員のエンゲージメントが低く、指示待ちの姿勢が蔓延。自発的な改善提案や部門を超えた協力がほとんど見られず、優秀な人材ほど早期に離職してしまう傾向がある。

#命令
上記の状況を打開し、社員が会社の理念やビジョンに心から共感し、自律的かつ熱意をもって仕事に取り組む「エンゲージメントの高い組織」へと変革するための、具体的で実践的なアクションプランを提案してください。

#アウトプットの条件
- **ステップ1: 深刻なリスクの分析**
  - まず、現在の状況を放置した場合に起こりうる、最も深刻な経営リスクを3つ挙げ、その理由を具体的に解説してください。

- **ステップ2: アクションプランの提案**
  - 次に、以下の4つの象限に分けて、具体的で実行可能なアクションプランを体系的に提案してください。
    - **A：【経営陣向け】短期施策（明日から3ヶ月でできること）**
    - **B：【管理職向け】短期施策（明日から3ヶ月でできること）**
    - **C：【経営陣向け】中長期施策（半年～1年かけて取り組むこと）**
    - **D：【管理職向け】中長期施策（半年～1年かけて取り組むこと）**

- **各アクションプランの記述要件**
  - **施策名:** 一目で内容がわかるように記述
  - **目的:** その施策がなぜ必要なのかを明確に記述
  - **具体的な進め方:** 誰が何をすべきか、手順を分かりやすく記述
  - **成功のポイント:** 施策を形骸化させないためのコツや注意点を記述
  - **特に、コストをかけずに始められるアイデアを重視してください。**

#補足情報（回答の参考にしてください）
- 業種：[ここに業種を記入]
- 社員数：[ここに社員数を記入]
- 現在の企業理念（もしあれば）：[ここに企業理念を記入]
- 特に課題と感じている点：[自由記述]

」"
